elapsed_time_sec,ss1,ss2,ss3,ss4
4.3709997e-06,0.22028281,0.33042252,0.43122488,0.35152087
0.010079448,0.2196731,0.33446556,0.43206155,0.37341475
0.020066971,0.2179889,0.33470267,0.43274093,0.38049537
0.03006292,0.21893851,0.3344025,0.43314594,0.3826259
0.040063366,0.21875566,0.33458033,0.4323842,0.38279435
0.05006154,0.21896699,0.33471042,0.4324767,0.38341796
0.060062822,0.21864194,0.335073,0.43298474,0.38333532
0.070062526,0.21889871,0.33485425,0.43260586,0.38265035
0.08006279,0.2188031,0.3348101,0.43243662,0.3833989
0.090062186,0.2189883,0.33497086,0.43250507,0.38210267
0.100062616,0.21915734,0.33450878,0.4319316,0.38278016
0.1100629,0.21888342,0.33451864,0.43302327,0.38358745
0.120061696,0.21907109,0.33572045,0.43259946,0.3835846
0.13006258,0.21866567,0.334054,0.43244147,0.38361382
0.14006254,0.2195759,0.33460197,0.43238148,0.38335094
0.1500625,0.21894604,0.33397046,0.43221807,0.38328624
0.1600625,0.21993527,0.33523926,0.43284398,0.38300705
0.17006129,0.21790259,0.33470848,0.43257967,0.38309592
0.1800625,0.21869995,0.33524412,0.4320279,0.3830558
0.19006154,0.21848826,0.33468512,0.43222576,0.38346377
0.20006293,0.21857668,0.33457217,0.43204224,0.3832798
0.21006192,0.21875285,0.33478835,0.4322141,0.38348573
0.22006285,0.21852565,0.3345838,0.4320328,0.3828661
0.23006265,0.21907614,0.3345504,0.43269408,0.38276047
0.24006207,0.21933421,0.3349313,0.43213025,0.38285378
0.2500616,0.2184408,0.33549982,0.43163106,0.38311464
0.26006207,0.218804,0.3347568,0.43245173,0.38345507
0.27006236,0.21931149,0.33562875,0.43257645,0.38263705
0.2800627,0.21936259,0.33461303,0.4323187,0.3830222
0.29006192,0.217391,0.3353657,0.43234083,0.3833337
0.30006266,0.21906865,0.3342211,0.43184572,0.3825922
0.31006202,0.21970351,0.33579075,0.43248156,0.38189536
0.32006258,0.21984123,0.33509475,0.43197778,0.3822679
0.33006647,0.21947162,0.33446062,0.4313331,0.38267133
0.3400632,0.21880092,0.33491254,0.43236166,0.3824788
0.35006145,0.21883526,0.3351462,0.43199882,0.38330448
0.36007065,0.21849765,0.33495092,0.4314218,0.38294676
0.3700653,0.21925148,0.33540103,0.431985,0.38280913
0.3800629,0.21844871,0.33547607,0.43151,0.38227403
0.39007396,0.21886386,0.3350213,0.43175018,0.38245013
0.40006694,0.21945374,0.3343637,0.43164754,0.38228166
0.41006237,0.21831305,0.33514872,0.43063143,0.38248602
0.42006212,0.2195878,0.3349817,0.4312135,0.38258728
0.43006155,0.2188037,0.3350488,0.43134433,0.38210762
0.44006205,0.21972951,0.33519757,0.4313289,0.38283202
0.45006028,0.21884911,0.33518484,0.43154866,0.38225526
0.46006262,0.2177983,0.3357596,0.43171036,0.38241804
0.47006142,0.21992405,0.33527014,0.43113258,0.38196358
0.48006153,0.21984862,0.3360959,0.4310976,0.38170928
0.49006644,0.21837275,0.33493814,0.43080148,0.38264367
0.5000655,0.21955302,0.33560848,0.4316984,0.3822394
0.5100626,0.21859962,0.335064,0.43160918,0.3826654
0.5200676,0.21968909,0.336068,0.43111706,0.38257352
0.53006357,0.21778403,0.33542752,0.43109068,0.38245454
0.54006296,0.21852991,0.33523366,0.430978,0.38209885
0.5500631,0.21892095,0.33495718,0.43095595,0.38172063
0.56006294,0.21876535,0.33498597,0.43164513,0.38182214
0.57006246,0.21968824,0.33549294,0.4309341,0.38180363
0.5800623,0.2188752,0.33530164,0.4306147,0.3822151
0.59006315,0.21947016,0.33505526,0.4311373,0.38165337
0.60006255,0.21928908,0.33562624,0.43018794,0.38225615
0.61006266,0.21901925,0.33575803,0.43079776,0.381924
0.62006235,0.21916658,0.33490273,0.43136138,0.38186136
0.63006246,0.21907032,0.33543327,0.431782,0.3820842
0.6400626,0.21958606,0.33560684,0.43029004,0.38159713
0.65006113,0.21954334,0.33584383,0.431337,0.3817175
0.6600627,0.21909447,0.33459127,0.4299405,0.38216284
0.67006224,0.21966563,0.33573148,0.43141866,0.38214123
0.6800621,0.21879399,0.33472338,0.43049556,0.38244644
0.69006354,0.21910952,0.335626,0.43132612,0.38175356
0.7000627,0.21907252,0.335005,0.42981595,0.38204306
0.7100615,0.21847384,0.33476642,0.43051165,0.3822947
0.7200618,0.22008538,0.3349089,0.4303424,0.3816909
0.73006237,0.21871266,0.3348867,0.42996535,0.3820082
0.7400623,0.2191727,0.33473444,0.43082747,0.38098586
0.75006205,0.21961421,0.33494616,0.43067223,0.3816355
0.76006275,0.2201095,0.33554828,0.43042633,0.3814549
0.7700598,0.21944645,0.33585027,0.43042275,0.38186702
0.7800662,0.2197798,0.33550322,0.43062493,0.38166314
0.7900637,0.2172952,0.33532113,0.43053696,0.3816965
0.80006397,0.21901564,0.33586183,0.4305432,0.38182905
0.81006205,0.21787877,0.335344,0.43086702,0.3820507
0.8200628,0.22011003,0.33633304,0.43038237,0.3822294
0.83006245,0.21916041,0.33558312,0.4302344,0.3815838
0.8400614,0.21954192,0.33583423,0.43008488,0.38221005
0.8500622,0.21936245,0.33580053,0.4300238,0.38156718
0.8600794,0.21912162,0.33575097,0.42977184,0.3814885
0.8700679,0.21927725,0.33553806,0.43040127,0.38114575
0.8800622,0.21929936,0.3354148,0.43023816,0.38135394
0.89006394,0.21884617,0.3359784,0.4299084,0.38091388
0.90006393,0.21980174,0.33521578,0.43059176,0.3814942
0.9100628,0.2195491,0.33540064,0.42948467,0.38116327
0.920078,0.21998411,0.3351764,0.4294033,0.38037765
0.9300653,0.22006266,0.33630615,0.4293685,0.38118652
0.9400627,0.21871608,0.3355537,0.43029907,0.3817018
0.9500627,0.22013718,0.3361338,0.43025586,0.3814221
0.9600627,0.21902964,0.3354521,0.4300063,0.38119364
0.9700608,0.21994813,0.33611086,0.42986694,0.3811954
0.98006254,0.21918693,0.33559993,0.43021193,0.38139442
0.99006206,0.21943505,0.33612075,0.43008956,0.38131595
1.0000688,0.21894518,0.33583423,0.42990044,0.38120016
1.0100638,0.21827443,0.33508548,0.42927164,0.3815138
1.0200617,0.21847722,0.33582777,0.42915884,0.38098556
1.0300618,0.21879494,0.33608082,0.4293093,0.38132608
1.0400631,0.21987197,0.33573014,0.4303318,0.38053304
1.0500629,0.21912333,0.33615735,0.4296843,0.38114274
1.0600626,0.21944045,0.33552665,0.42998526,0.38065094
1.0700626,0.21942563,0.33551136,0.4291174,0.38089946
1.0800613,0.21956165,0.33567306,0.42856985,0.38098195
1.0900621,0.21923904,0.33580515,0.42936277,0.3816371
1.100063,0.21896055,0.33547306,0.42927712,0.38140994
1.1100624,0.21978007,0.33595854,0.42951667,0.38072872
1.1200625,0.2191687,0.3357636,0.4292713,0.38099205
1.1300615,0.21890657,0.33554482,0.42967567,0.38069937
1.1400626,0.21955927,0.33612105,0.42984748,0.38117838
1.1500624,0.21876267,0.33504987,0.4299724,0.38092622
1.1600627,0.21928956,0.33589453,0.4293581,0.38035986
1.1700623,0.2202839,0.33618206,0.42911026,0.3811092
1.1800622,0.22011746,0.33601186,0.43008095,0.3807312
1.190062,0.21794383,0.33599156,0.42876104,0.38042745
1.200062,0.21978447,0.33595783,0.42979047,0.3807941
1.2100616,0.21966317,0.33564085,0.4291805,0.38087538
1.2200646,0.21961936,0.33605483,0.42867422,0.38041458
1.230062,0.21959227,0.33595315,0.428547,0.3806227
1.2400626,0.21998398,0.33544278,0.42891544,0.38094905
1.2500615,0.2198887,0.33585972,0.4288334,0.3804614
1.2600626,0.21944906,0.33682245,0.42902732,0.38087493
1.270062,0.21973245,0.33645344,0.42869085,0.3805549
1.2800627,0.21910946,0.3361542,0.42912385,0.38053358
1.2900617,0.21999504,0.3362378,0.4287299,0.38077354
1.3000625,0.22007307,0.33595166,0.42859736,0.38043898
1.3100623,0.21961038,0.33652428,0.42884782,0.38062766
1.3200616,0.21962272,0.3362088,0.42867386,0.37969595
1.3300624,0.21963517,0.33614865,0.42954138,0.3806224
1.3400626,0.21903999,0.33641392,0.42874455,0.38012785
1.3500624,0.21921793,0.33601472,0.42871565,0.3804089
1.3600788,0.2185109,0.33582243,0.42891413,0.38015905
1.3700669,0.21904303,0.33538353,0.42952287,0.3799829
1.3800642,0.21901987,0.33578435,0.4287175,0.38043174
1.3900627,0.21921,0.33589825,0.42827538,0.37990156
1.4000638,0.21958518,0.33610815,0.4287147,0.37987512
1.4100627,0.21971188,0.33614966,0.42903927,0.38017192
1.4200629,0.22011764,0.33634627,0.42929935,0.37990388
1.4300625,0.21989422,0.336663,0.42943242,0.37953052
