elapsed_time_sec,ss1,ss2,ss3,ss4
2.556e-06,2.4923174,2.4979615,2.505615,2.4892168
0.011888159,2.4957902,2.5158021,2.4947176,2.5167058
0.02008972,2.4911423,2.5382679,2.503754,2.515768
0.030312436,2.5167913,2.5182438,2.506186,2.5335455
0.040085327,2.524329,2.514038,2.5122411,2.5259604
0.050588068,2.508718,2.532628,2.5351477,2.5364366
0.060093194,2.5307114,2.5327644,2.5432749,2.5472705
0.07008527,2.5099049,2.5394058,2.5364554,2.5645785
0.08007556,2.5153217,2.5439982,2.5654793,2.5660114
0.0900659,2.5227206,2.532062,2.5411386,2.5784914
0.10006437,2.532793,2.537606,2.574594,2.5866585
0.110062525,2.536621,2.5364854,2.5808854,2.58751
0.120062664,2.5208285,2.5639007,2.5935895,2.598479
0.13006209,2.5675764,2.5648267,2.5775225,2.616161
0.1400628,2.5502892,2.5529528,2.6015358,2.6068218
0.1500614,2.546438,2.5809827,2.6057577,2.6228886
0.16006127,2.5584319,2.5919728,2.5964959,2.6413083
0.17006324,2.5426643,2.586687,2.6161523,2.6367564
0.18006256,2.5710957,2.5783262,2.6014009,2.6237097
0.19006103,2.563017,2.5912929,2.6126425,2.6451929
0.20006235,2.5613701,2.5988705,2.627598,2.6504972
0.21008097,2.5765321,2.607097,2.6372669,2.6650574
0.22008324,2.5632157,2.595537,2.6286652,2.6733546
0.23008193,2.5834076,2.605168,2.6391795,2.676441
0.24008065,2.5612676,2.6139092,2.6712036,2.6875615
0.25006527,2.5724523,2.6097481,2.6573327,2.6807997
0.2600633,2.5726776,2.6344776,2.6712034,2.697709
0.27006355,2.612782,2.638819,2.6561084,2.711424
0.28006148,2.594896,2.6296449,2.6852543,2.6886833
0.290062,2.6014047,2.6427844,2.687365,2.7282653
0.30006287,2.596263,2.6297424,2.684106,2.7234302
0.31006184,2.6198788,2.6287937,2.6988516,2.7341409
0.32006112,2.5909498,2.6471303,2.6963756,2.7402723
0.3300623,2.6132524,2.6393948,2.7055037,2.7552912
0.3400613,2.5732415,2.6298816,2.7043293,2.7698
