elapsed_time_sec,ss1,ss2,ss3,ss4
4.5369998e-06,0.28111047,0.3956874,0.48981273,0.37332565
0.010072498,0.2804946,0.40078413,0.48896477,0.39545324
0.020063905,0.2792949,0.40158227,0.4904473,0.4003892
0.030059664,0.27862644,0.40009072,0.49098578,0.40488613
0.040062755,0.2793709,0.39912137,0.49004126,0.40507504
0.050093032,0.27944183,0.3994148,0.48969945,0.40234882
0.060064033,0.27854255,0.40053794,0.489404,0.40453
0.07006457,0.2790645,0.40034914,0.49046364,0.40427822
0.080062695,0.2788494,0.40088934,0.49059892,0.40419352
0.09006264,0.27916163,0.3998795,0.49083552,0.40538254
0.10006977,0.2799158,0.40051907,0.4906932,0.40512693
0.110068105,0.2790325,0.40009212,0.4912973,0.4044006
0.120070755,0.2794661,0.40093946,0.490805,0.40518197
0.13006714,0.2796111,0.40097117,0.49072582,0.40519387
0.14006236,0.27940157,0.40064862,0.49080458,0.40510008
0.15006301,0.27960572,0.40013677,0.49049014,0.404859
0.16006275,0.2795861,0.4000192,0.490589,0.40525538
0.17007151,0.2795194,0.40097037,0.4912367,0.40451875
0.18006577,0.279418,0.400792,0.4910397,0.40437323
0.19007488,0.27841038,0.4004599,0.49077687,0.40431195
0.2000651,0.27897814,0.40056315,0.49165723,0.40522698
0.21006367,0.2784044,0.400588,0.4911446,0.40566412
0.22006841,0.27926663,0.400358,0.4904161,0.40492305
0.23006426,0.27918217,0.40100253,0.49166164,0.40457007
0.24006191,0.2789444,0.4004993,0.4926128,0.40509263
0.25006294,0.27926663,0.4008307,0.49294642,0.40525857
0.26006275,0.27920258,0.40104437,0.49032122,0.40630955
0.27007255,0.27921504,0.40060264,0.49237588,0.40491495
0.28006753,0.27926263,0.4012436,0.49096873,0.4053092
0.29006374,0.27867046,0.40092093,0.49208412,0.40523228
0.3000622,0.2798196,0.40187532,0.49241668,0.40559813
0.31006122,0.27921796,0.40028447,0.49198914,0.40406576
0.3200707,0.2798615,0.40042916,0.49218044,0.40487316
0.33006707,0.27920946,0.40087295,0.49182692,0.40513313
0.3400704,0.27965862,0.40102625,0.49165776,0.40479353
0.35006592,0.27902508,0.40060273,0.49267095,0.40457076
0.36006293,0.2794774,0.39990577,0.49234787,0.40430978
0.3700637,0.2793771,0.4008506,0.49301422,0.40566728
0.38006273,0.2810577,0.40146095,0.49220854,0.40463814
0.39007422,0.27883494,0.4004343,0.49222434,0.40457216
0.40006638,0.27909234,0.40085414,0.4921651,0.40480623
0.41007075,0.2791829,0.4004611,0.4924136,0.4048454
0.4200666,0.28048456,0.400458,0.49301836,0.405103
0.4300621,0.2794836,0.40098342,0.4923479,0.40471792
0.4400643,0.27942535,0.40037417,0.49347207,0.40524408
0.45006323,0.27991715,0.40030554,0.492879,0.40455943
0.46007264,0.27963436,0.40118837,0.49272823,0.40455475
0.47007844,0.27636823,0.40031493,0.4931446,0.40441218
0.48007318,0.27974072,0.4007706,0.49361247,0.40457752
0.49006614,0.27875388,0.39986175,0.4928852,0.40464115
0.50006294,0.27904782,0.40055174,0.4933865,0.40524316
