elapsed_time_sec,ss1,ss2,ss3,ss4
2.6000016e-06,2.502258,2.4869714,2.4997017,2.48452
0.0125444,2.504658,2.5017836,2.4987519,2.5102272
0.0229515,2.5061507,2.5179496,2.5071805,2.5052671
0.0327,2.5133436,2.4967093,2.5126143,2.515432
0.04309,2.5097895,2.5165105,2.522502,2.5213287
0.0531614,2.5265803,2.515605,2.538028,2.5573494
0.0627861,2.512909,2.5084677,2.5527663,2.5627851
0.0731033,2.5068185,2.5136073,2.5368388,2.56518
0.0832357,2.5226998,2.551868,2.5476646,2.5777373
0.0935808,2.5330143,2.5359993,2.574025,2.5669727
0.103077,2.5289497,2.5441172,2.5837758,2.5688648
0.112915,2.5197845,2.5571136,2.5731895,2.5916135
0.1228396,2.5388486,2.5567265,2.5817037,2.5791154
0.1326756,2.5072346,2.566097,2.585503,2.608097
0.1428928,2.5500712,2.5690744,2.5854735,2.6173134
0.1527378,2.551906,2.5714455,2.589027,2.6113591
0.1632293,2.5622718,2.58348,2.5871255,2.610943
0.1729304,2.5573354,2.594219,2.616277,2.6276596
0.1833798,2.5712996,2.601685,2.6006892,2.622812
0.1931795,2.5554757,2.5928352,2.6214414,2.6307547
0.2032747,2.5581098,2.6077132,2.6269288,2.6477811
0.212954,2.563194,2.5968814,2.6329424,2.6673439
0.2231217,2.5727072,2.603233,2.6340322,2.6640577
0.2339412,2.5671234,2.6139865,2.6394074,2.6822317
0.2427624,2.5835133,2.6200461,2.6522167,2.6958847
0.2529902,2.565813,2.618515,2.6417131,2.6882384
0.2629511,2.582532,2.6172574,2.6770175,2.6984584
0.2728413,2.5912757,2.6194165,2.656919,2.7146163
0.282861,2.5859604,2.634495,2.6669269,2.7172036
0.292991,2.60609,2.6322749,2.6594515,2.714331
0.303153,2.583857,2.6515632,2.698852,2.7386923
0.3130494,2.5945606,2.6396172,2.6916256,2.757739
0.3229956,2.6089485,2.6773896,2.7175705,2.7431762
0.3331971,2.5956495,2.655464,2.7147293,2.76336
0.3429881,2.6050441,2.675844,2.7191145,2.7448423
0.3527707,2.5956473,2.6661885,2.7170353,2.76912
0.3632994,2.6271815,2.6775692,2.7193046,2.781361
0.3727879,2.6126885,2.672749,2.7423122,2.7883651
0.3829057,2.6103148,2.6776037,2.7279713,2.7798443
0.3933218,2.5912733,2.682378,2.7380488,2.7980006
0.4033484,2.6206791,2.6848164,2.7480376,2.785554
0.4128204,2.6356475,2.6965752,2.7512589,2.798257
0.4228486,2.6357062,2.6938953,2.7401016,2.8094127
0.4329428,2.6264882,2.705447,2.7573822,2.7996042
0.4429917,2.6672115,2.7064266,2.7774785,2.8201275
0.4528743,2.6268935,2.7078843,2.7778206,2.841393
0.4631652,2.6570203,2.7220082,2.7742906,2.8518066
0.4730701,2.6445904,2.7287304,2.7761202,2.8579924
0.4829406,2.654758,2.7195961,2.7823412,2.8656194
0.4929737,2.6511083,2.7258532,2.8016775,2.8514578
0.5032937,2.6685307,2.7364955,2.7878082,2.8475587
0.5129995,2.6641386,2.7447636,2.814946,2.849999
0.5230497,2.6591496,2.735423,2.8025308,2.882722
0.5331347,2.6727006,2.7304723,2.8219657,2.868793
0.542919,2.6771014,2.7282765,2.8197885,2.8919916
0.5529131,2.6661882,2.752478,2.8146784,2.8889627
0.5631997,2.665893,2.7535813,2.8423543,2.87083
0.573363,2.6719432,2.7456005,2.836257,2.8865135
0.5831291,2.686857,2.7595153,2.8350246,2.9188452
0.5927825,2.6744475,2.7802925,2.8351629,2.90252
0.6030216,2.6859167,2.7613094,2.8573074,2.9190543
0.6127003,2.6859047,2.7778146,2.8617783,2.8997688
0.6229442,2.688131,2.7766593,2.8755562,2.909745
0.6330864,2.7072208,2.7843225,2.853836,2.912342
0.6429946,2.7074473,2.7837074,2.8659165,2.9154649
0.65302,2.714941,2.7771108,2.8634784,2.925576
0.6631766,2.7134874,2.787489,2.8824732,2.933899
0.6727839,2.6942966,2.7814066,2.8792284,2.9371607
0.6829134,2.6998825,2.798187,2.8823235,2.9414022
0.6931418,2.7088897,2.8116236,2.8781338,2.9388633
0.7028236,2.7150888,2.8045542,2.8848724,2.9465666
0.7129965,2.7029116,2.8230762,2.8799531,2.9413986
0.7231426,2.7144406,2.8078496,2.8996074,2.9408834
0.7328731,2.7286882,2.809915,2.9025,2.9584382
0.7429231,2.7208095,2.7996106,2.9107587,2.965776
0.7528302,2.720051,2.837921,2.906886,2.9727275
0.7628993,2.7307603,2.826125,2.9200695,2.966808
0.7732362,2.748958,2.8395057,2.9219306,2.9634733
0.7831362,2.7269106,2.8393848,2.9115596,2.9678526
0.7930701,2.7343884,2.844229,2.9086032,2.9627805
0.8028397,2.7222695,2.837859,2.9297092,2.9750714
0.8129153,2.769422,2.8281326,2.926812,2.9772108
0.822742,2.7558136,2.8477807,2.9116437,2.968087
0.8327512,2.7474062,2.8579183,2.927261,2.979022
0.8435627,2.7537346,2.8597255,2.937905,2.990059
0.8530876,2.7500575,2.8385432,2.9408994,2.991301
0.863153,2.7629485,2.8645728,2.960556,2.994182
0.8732601,2.7464015,2.8751223,2.9397764,2.997349
0.8827729,2.7752995,2.881882,2.946447,2.970943
0.8928801,2.7557411,2.872123,2.951966,2.9873774
0.9026309,2.7739809,2.8877535,2.952358,2.985578
0.9127593,2.7899933,2.8788636,2.9619477,2.968702
0.9230874,2.7751234,2.884507,2.9514806,3.00888
0.9328294,2.776376,2.8750226,2.9550326,2.9936821
0.9431936,2.7706687,2.894997,2.9388356,3.0176988
0.9526612,2.807539,2.8785787,2.9742086,3.0090032
0.9629917,2.784719,2.9066298,2.9767234,3.0094135
0.9731828,2.7899537,2.9188855,2.9714909,2.9860718
0.9830545,2.7994475,2.9047756,2.9669487,3.0043874
0.9930253,2.7872276,2.9080248,2.9706566,2.9976132
1.0028464,2.793388,2.9011948,2.9819155,2.9963894
1.0134826,2.8098722,2.9057071,2.9799116,3.0063353
1.0234994,2.8102002,2.9036317,3.0109313,3.0130594
1.0329078,2.8010528,2.9292767,2.9944186,2.983031
1.0431507,2.787415,2.912026,2.9816399,3.0050206
1.052985,2.8056614,2.8989823,2.9824133,2.9853039
1.063212,2.8161736,2.9228706,2.9908648,2.986811
