elapsed_time_sec,ch0_voltage,ch1_voltage,ch2_voltage,ch3_voltage
4.5740017e-06,-0.0012475369,-0.0064915703,-0.008649694,-0.0073113074
0.01010408,-0.004763742,-0.007761249,-0.00854128,0.014831217
0.020089366,-0.0041634105,-0.0073833745,-0.007878829,0.02312527
0.03007191,-0.002700111,-0.006078896,-0.0058036773,0.027277168
0.040083103,-0.0029544795,-0.00579897,-0.0048699817,0.028042406
0.050078854,-0.0033578665,-0.0076129874,-0.007950636,0.027009966
0.060833443,-0.0050292644,-0.008698166,-0.008346822,0.026156023
0.07177512,-0.0025021965,-0.007166961,-0.008152524,0.027541652
0.080071025,-0.0027412954,-0.005898631,-0.004895681,0.027779743
0.09008596,-0.0026837885,-0.0044633043,-0.005551828,0.029125666
0.10008815,-0.005347479,-0.007901018,-0.007725115,0.027010936
0.110115565,-0.005734698,-0.008254031,-0.008045152,0.025759783
0.12009413,-0.0077369073,-0.011865764,-0.012067809,0.027000422
0.13008133,-0.003146965,-0.0060877786,-0.005892398,0.028006552
0.14007829,-0.002860399,-0.0056057274,-0.0052945497,0.0283491
0.15007855,-0.004463683,-0.007643503,-0.008363913,0.027032536
0.1600814,-0.0052905283,-0.008452075,-0.008623353,0.026615545
0.17008065,-0.003864593,-0.007402533,-0.0076701865,0.027526902
0.18007281,-0.0029062575,-0.006095528,-0.0056060823,0.027872449
0.19007635,-0.0028797516,-0.005712994,-0.0058581564,0.028463345
0.2000811,-0.0053629996,-0.0075377743,-0.0075096125,0.02739896
0.21008654,-0.004791372,-0.0083850585,-0.008150937,0.026525088
0.22008124,-0.004540102,-0.0073214793,-0.007700667,0.027282136
0.23007259,-0.0029638826,-0.005931051,-0.0056773447,0.027376996
0.24008995,-0.0031578797,-0.0057230117,-0.0060323444,0.028646333
0.2500878,-0.0046809735,-0.007539679,-0.0074475757,0.026830552
0.26008055,-0.0050500575,-0.008442672,-0.007912372,0.026370807
0.2700795,-0.0046828045,-0.007970589,-0.006765585,0.027577845
0.28007147,-0.0031883032,-0.0056931823,-0.0056884745,0.027979434
0.29007778,-0.00276035,-0.005858499,-0.005527697,0.02858879
0.30007374,-0.0057318592,-0.0074367295,-0.008305413,0.027069569
0.31008035,-0.0057617337,-0.008622395,-0.008605765,0.025310015
0.32008207,-0.00440557,-0.006619592,-0.0074033868,0.027565459
0.3300709,-0.0025067737,-0.0058608884,-0.0060368483,0.028085293
0.34007576,-0.003049918,-0.005819491,-0.0056350487,0.028513625
0.35007548,-0.0048557385,-0.007838602,-0.008147298,0.02580559
0.3600776,-0.004933414,-0.008718117,-0.008139667,0.026532684
0.37008464,-0.004414337,-0.0076867575,-0.006792221,0.02729781
0.38007438,-0.0028670367,-0.0063110073,-0.005418574,0.02821152
0.39008963,-0.0031951042,-0.005585585,-0.0059005115,0.028656788
0.40012714,-0.004274769,-0.008456037,-0.0075497087,0.02747731
0.4100803,-0.005128783,-0.009740501,-0.008848637,0.026250541
0.42025217,-0.009021598,-0.010079003,-0.0072238175,0.02408311
0.43008342,-0.0022409204,-0.00600501,-0.005496841,0.027744947
0.4400795,-0.0030540342,-0.005610908,-0.00505978,0.028675938
0.45007485,-0.0054104743,-0.0075623645,-0.008198475,0.026942456
0.4600886,-0.0053997817,-0.0077570262,-0.008656781,0.02885928
0.4701028,-0.0019469287,-0.0052748946,-0.004193526,0.027506923
0.48009825,-0.00205701,-0.0037275206,-0.0035359103,0.029259946
0.49010253,-0.0020745506,-0.0053726844,-0.004795157,0.028359221
0.50013626,-0.0012088269,-0.0039500725,-0.005066664,0.019378224
0.5101297,0.003995714,-0.00512585,-0.0046281363,0.023100302
0.5201207,-0.0014385085,-0.0060362476,-0.0068522114,0.024874602
0.53009254,-0.0015288161,-0.004219048,-0.0047528604,0.027941266
0.54008746,-0.0023320771,-0.0046191732,-0.004683325,0.02883003
0.55010027,-0.0020975177,-0.00478243,-0.0059359833,0.028574336
0.5601045,-0.00252149,-0.005778981,-0.006737198,0.028109431
0.5700905,-0.0038003207,-0.007084226,-0.009039242,0.026733387
0.5800705,0.00025504277,-0.0046753176,-0.006828263,0.026462613
0.5900882,-0.0028002546,-0.0059271595,-0.005739287,0.028665612
0.6001375,-0.005037305,-0.007289651,-0.0076037496,0.026401617
0.6101059,-0.005426276,-0.008291929,-0.0080452105,0.02575155
0.6217428,-0.0036540937,-0.0057267495,-0.0049191,0.028672934
0.6300699,-0.0031147723,-0.0052660923,-0.0071284496,0.026577627
0.6400758,-0.0024328737,-0.006156335,-0.004930632,0.027490556
0.65007573,-0.0046264688,-0.0078568645,-0.007911107,0.026579177
0.66008013,-0.0052258302,-0.007730402,-0.007974492,0.026062846
0.6700765,-0.004305817,-0.0077852355,-0.007568349,0.02771598
0.68006885,-0.0024838634,-0.0057698498,-0.006955622,0.026952485
0.690078,-0.003039072,-0.006605446,-0.006338412,0.028616054
0.700075,-0.004771655,-0.007820364,-0.008048679,0.026753092
0.7100845,-0.0050632786,-0.008543563,-0.00853293,0.026269536
0.72007734,-0.0047284244,-0.0076644407,-0.0074229264,0.02688309
0.7300692,-0.0034386623,-0.005504115,-0.006304419,0.026541304
0.74007744,-0.0032262942,-0.006121242,-0.0058722077,0.028644936
0.75007623,-0.0040402478,-0.007705235,-0.007844682,0.027242526
0.7600818,-0.005584177,-0.011063106,-0.010479646,0.024743905
0.77007926,-0.004443469,-0.0069286427,-0.0075714504,0.02683216
0.78007185,-0.0027512307,-0.0051534562,-0.0065867486,0.026413955
0.790075,-0.0036262604,-0.005740342,-0.0056981617,0.027852045
0.8000751,-0.004658924,-0.0076283184,-0.0077555454,0.026297273
0.8100918,-0.0057865153,-0.008957595,-0.012092316,0.026185405
0.820088,-0.0045580356,-0.007437108,-0.0075287735,0.02832878
