elapsed_time_sec,ss1,ss2,ss3,ss4
4.648e-06,0.24323979,0.3572459,0.57075536,0.4608971
0.010079501,0.2437407,0.36061355,0.57116365,0.48305905
0.020066727,0.24317652,0.36279568,0.5715226,0.48895168
0.030089691,0.2428457,0.36306453,0.57145506,0.49170688
0.040066753,0.24249655,0.363495,0.5710161,0.49177843
0.05006403,0.24306935,0.36405024,0.57142305,0.49209133
0.0600622,0.24243453,0.36318734,0.57134974,0.4918804
0.07006313,0.24339056,0.36448935,0.5718135,0.49221006
0.0800631,0.24332428,0.36352718,0.5709917,0.49155933
0.090062745,0.24285431,0.36371925,0.57144153,0.4922729
0.10006327,0.24263448,0.36312422,0.5716541,0.49215093
0.11006287,0.24263577,0.36365545,0.57179767,0.49233738
0.12006193,0.24278468,0.3637549,0.5713455,0.49164054
0.13006277,0.24309741,0.36247864,0.5721667,0.49169686
0.14006346,0.24265486,0.363193,0.5701173,0.49166813
0.15006314,0.24242051,0.3635548,0.57263184,0.49140117
0.16006267,0.24251008,0.36265844,0.5702481,0.49114168
0.17006344,0.24295072,0.3635099,0.5708181,0.49167857
0.18006276,0.24221896,0.36358598,0.5728051,0.49199864
0.19006224,0.24104063,0.3630054,0.5720825,0.49196488
0.2000628,0.24271737,0.36270642,0.57258844,0.49258935
0.21006198,0.24289338,0.36376774,0.5712663,0.49161986
0.22006556,0.24321038,0.36303362,0.5722711,0.4928392
0.23006386,0.24209668,0.36336058,0.57150155,0.4911065
0.24006134,0.24268685,0.36352912,0.57175064,0.49277213
0.25006273,0.24289036,0.3627717,0.5710987,0.4928676
0.26006237,0.24252906,0.36362815,0.57189983,0.4909663
0.27006295,0.24215223,0.3637768,0.57121754,0.49117085
0.28006235,0.24224259,0.36310554,0.57181543,0.4909344
0.2900625,0.24247628,0.36293077,0.5711869,0.49065784
0.30006254,0.24285717,0.3627955,0.571659,0.49079257
0.31006217,0.2428406,0.36311883,0.5712184,0.49100646
0.32006255,0.24310648,0.36380872,0.5708016,0.49169138
0.3300623,0.24337216,0.3628266,0.5709625,0.49120346
0.34006256,0.24337387,0.36308143,0.57161474,0.4909556
0.35006264,0.2431363,0.363906,0.5712264,0.49127
0.36006117,0.24323921,0.3635556,0.5706807,0.49118295
0.37006256,0.24327792,0.3644486,0.5713988,0.49144343
0.38006252,0.24288312,0.3632456,0.57069314,0.4907324
0.39006177,0.24262469,0.36289406,0.5713827,0.49066716
0.40006182,0.24303827,0.36340737,0.57150656,0.48997226
0.410063,0.2433075,0.3638438,0.5713896,0.4904286
0.42006227,0.24334407,0.3636011,0.57168573,0.49005592
0.43006113,0.24297583,0.36312684,0.5712363,0.4906252
0.4400622,0.24247049,0.36309657,0.57119226,0.490876
0.45006186,0.24304163,0.36339313,0.57105947,0.49072427
0.46006292,0.24301282,0.36312872,0.5707525,0.49066535
0.4700619,0.24277644,0.36361438,0.5710217,0.49039444
0.4800617,0.2430187,0.36343014,0.57123005,0.490557
0.49006173,0.24293007,0.36341295,0.5711951,0.49023584
0.50006217,0.24341594,0.36381537,0.5712187,0.48970148
0.51006293,0.24292971,0.36349845,0.5710842,0.4902179
0.52006286,0.2431681,0.36347646,0.57122976,0.49004564
0.53007203,0.2425646,0.36099926,0.5703528,0.48997656
0.5400673,0.24306089,0.36309242,0.57123905,0.4904682
0.5500626,0.24277277,0.36318934,0.570569,0.4902106
0.56006086,0.24325143,0.36380512,0.57061446,0.48997986
0.5700638,0.24278906,0.36317065,0.57195276,0.49058393
