elapsed_time_sec,ch0_voltage,ch1_voltage,ch2_voltage,ch3_voltage
3.3329998e-06,-0.0009116085,-0.004951849,-0.0061604865,-0.00470496
0.010156873,-0.0014978627,-0.00484164,-0.005228787,0.017937457
0.020403966,-0.0007732351,-0.0049213236,-0.0058876546,0.025525533
0.030074501,-0.0029936414,-0.00473783,-0.0047193523,0.02818545
0.040080413,-0.0068684276,-0.0066502993,-0.010124206,0.027377764
0.05007083,-0.001859474,-0.0057706186,-0.00427225,0.027296107
0.0600778,-0.0024647496,-0.004918379,-0.0047013955,0.02834095
0.07009216,-0.0051594763,-0.0070870644,-0.0066702766,0.027200276
0.080073796,-0.0022234388,-0.0043630283,-0.004782028,0.02921946
0.09008121,-0.0039389306,-0.0066524427,-0.006972642,0.028000025
0.1000717,-0.001756099,-0.0049285744,-0.0048740483,0.02771131
0.110075705,-0.0020170675,-0.005133846,-0.005371312,0.028812904
0.120086454,-0.0041646194,-0.0065926174,-0.007242444,0.027824573
0.13007489,-0.0027683668,-0.0055427207,-0.0057128165,0.02862678
0.14007972,-0.004035576,-0.0067449333,-0.007474886,0.027871942
0.150072,-0.0026132264,-0.00535033,-0.0058472864,0.029158453
0.16007887,-0.0021080824,-0.0047389274,-0.0047595906,0.02814533
0.17008974,-0.004371615,-0.0067035127,-0.007049996,0.028492441
0.18007664,-0.0022253762,-0.004541072,-0.00469942,0.028596547
0.19008085,-0.0041669705,-0.0077867284,-0.0069462922,0.028214984
0.20007075,-0.0020720195,-0.0048514334,-0.005166195,0.028480921
0.21007425,-0.0025902898,-0.004840256,-0.0044975337,0.029365687
0.22008763,-0.00352369,-0.006529301,-0.0072373836,0.027002728
0.23007478,-0.0027177366,-0.0049953777,-0.0062369984,0.028974447
0.24008144,-0.003898087,-0.007548573,-0.0065822895,0.02750618
0.25007302,-0.0029957586,-0.0048404005,-0.005479442,0.028390652
0.2600735,-0.0022242195,-0.00508353,-0.0049204486,0.029000197
0.2700894,-0.0037404485,-0.006118912,-0.0063082157,0.027857028
0.28007326,-0.0022599394,-0.0047217063,-0.004968694,0.028856492
0.29007638,-0.0037480064,-0.0069893077,-0.0067860824,0.02825495
0.30007213,-0.0024334202,-0.0051458743,-0.0046294113,0.029251643
0.31007233,-0.0021161134,-0.005099616,-0.0053864876,0.029080756
0.32008222,-0.0034048702,-0.0069531025,-0.00713712,0.027897963
0.33007184,-0.0025259703,-0.0055206856,-0.0058987704,0.02899622
0.34007815,-0.0037083123,-0.0067596096,-0.0072099906,0.027177664
0.35007212,-0.0022045854,-0.0045281467,-0.005590422,0.028724147
0.3600736,-0.0021145782,-0.0054952796,-0.0043687318,0.028589215
0.37008435,-0.0041539245,-0.0063373833,-0.0068908413,0.027601523
