elapsed_time_sec,ss1,ss2,ss3,ss4
4.073e-06,0.2790247,0.38096583,0.6099661,0.4877531
0.01007528,0.27698812,0.3825648,0.60731846,0.50971
0.020067103,0.27762356,0.38368052,0.60950166,0.5161587
0.030065557,0.2766022,0.38430935,0.60968643,0.5170057
0.040063288,0.2765803,0.38382345,0.60995966,0.5181316
0.050062887,0.27725744,0.38391453,0.60926455,0.518335
0.0600631,0.27645856,0.38390273,0.6097968,0.51845914
0.07006187,0.2771705,0.38402233,0.61100537,0.5183087
0.0800624,0.27665937,0.38397276,0.609156,0.5180882
0.09006244,0.277357,0.38432667,0.60857344,0.5179386
0.10006219,0.27712446,0.38431254,0.609234,0.51878005
0.11006175,0.2768358,0.3848138,0.611409,0.51897836
0.12006234,0.27646258,0.38406754,0.61147344,0.5186206
0.13006248,0.2771175,0.38403022,0.608364,0.5178047
0.14006235,0.27652287,0.3841799,0.6082207,0.51915205
0.15006287,0.2774575,0.38409877,0.61120427,0.51896113
0.16006263,0.27644935,0.38421074,0.6095262,0.51865995
0.17006215,0.27644518,0.38421363,0.60872316,0.51803327
0.18006185,0.27644575,0.38414666,0.6102931,0.51667124
0.19006228,0.2764369,0.38453647,0.60958225,0.518949
0.20006235,0.27691135,0.38365167,0.60971266,0.5173674
0.21006256,0.27676505,0.38402617,0.6095954,0.5187204
0.22006528,0.27625608,0.38407433,0.60993963,0.5182607
0.23006263,0.2769413,0.3837228,0.6096659,0.5185024
0.24006252,0.27700955,0.38408482,0.6094196,0.51764
0.25006217,0.27696744,0.3844208,0.60931116,0.51897794
0.26006234,0.27730048,0.38384083,0.6097694,0.518476
0.2700621,0.27587363,0.38295317,0.6100277,0.5180681
0.28006145,0.2770887,0.38479897,0.6101792,0.51864696
0.2900622,0.27679297,0.38399905,0.60973686,0.51899755
0.3000612,0.27713895,0.38477615,0.6094789,0.51922935
0.31006274,0.2767383,0.38408557,0.6090739,0.5181057
0.3200618,0.27711126,0.38448924,0.61075556,0.5185195
0.33006257,0.27678055,0.38473198,0.6089074,0.51891434
0.34006205,0.27678433,0.38465434,0.610366,0.51878834
0.35006168,0.277686,0.38413036,0.60988116,0.51793
0.3600658,0.2772296,0.3833576,0.6097142,0.51826674
0.37006226,0.2767636,0.3844915,0.6097725,0.51817155
0.38006255,0.27606812,0.38390878,0.60948503,0.5183132
0.39006227,0.27686924,0.38438833,0.6096746,0.5180058
0.4000741,0.27698737,0.38398805,0.61045516,0.51770604
0.41006804,0.2767025,0.38407907,0.6098205,0.5176479
0.42006215,0.2766676,0.38422418,0.60933536,0.5182604
0.43006322,0.27633294,0.38393423,0.6095961,0.51865107
0.44006208,0.27700523,0.3843787,0.6101429,0.51820385
0.45006195,0.27800673,0.38488656,0.60978,0.5183348
0.4600634,0.27677155,0.38400507,0.6093169,0.51772046
0.4700616,0.2764836,0.384685,0.60981274,0.518265
0.48006237,0.27735978,0.38432977,0.60916036,0.51747483
0.49006236,0.27726287,0.3841147,0.60948443,0.51850945
0.5000621,0.27643344,0.38451195,0.60901695,0.5184097
0.5100626,0.2766258,0.38413966,0.6093415,0.51814735
0.52006304,0.27675623,0.38346356,0.6099502,0.5181981
0.5300614,0.27642956,0.38432145,0.607975,0.5187893
0.5400618,0.2760802,0.38435906,0.6101707,0.5182514
0.55006224,0.277024,0.3842401,0.60989827,0.5171946
0.56006175,0.27695033,0.3839642,0.6086596,0.51809627
0.5700611,0.27700698,0.38382152,0.6109614,0.5184101
0.5800618,0.2771945,0.38435134,0.6093147,0.5181606
0.59006166,0.27672362,0.38470176,0.61157376,0.51820576
0.6000624,0.2767137,0.38468188,0.60847574,0.51986325
0.6100627,0.27739903,0.38404298,0.6075619,0.5192079
0.6200634,0.27724865,0.38349637,0.6081641,0.5172443
0.6300613,0.27649128,0.38305157,0.60938644,0.5164008
0.6400622,0.27659672,0.38390833,0.6103429,0.5178983
0.650062,0.2761813,0.38425636,0.6103474,0.5173642
0.66006136,0.27640864,0.38400978,0.60904443,0.51883966
0.67006224,0.27649862,0.3836246,0.60884196,0.5170204
0.68006164,0.27638286,0.3842352,0.609347,0.51737195
0.69006157,0.2763549,0.3835381,0.6094397,0.5191528
0.70006216,0.27631482,0.3841154,0.60942304,0.51809144
0.71006185,0.27670348,0.3845772,0.60919976,0.51834404
0.72006106,0.27651232,0.38453126,0.6097937,0.5187392
0.7300619,0.27776137,0.3834422,0.6091144,0.51834637
0.7400716,0.27650526,0.38455036,0.60955423,0.51852363
0.750064,0.27750498,0.3836227,0.60993063,0.5182692
0.76006204,0.27655998,0.3847764,0.6096148,0.517568
0.7700626,0.27788222,0.38447386,0.609908,0.5177747
0.78006196,0.27626795,0.3838872,0.60844797,0.5181148
0.79006165,0.2773544,0.38465387,0.6095795,0.5179508
0.8000617,0.27690956,0.38368016,0.6094266,0.5182872
0.8100664,0.2763709,0.38387975,0.6103322,0.51903427
0.8200639,0.27710313,0.38368228,0.60932744,0.5178788
0.8300615,0.2765166,0.3834068,0.6095434,0.5182407
0.84006244,0.27641195,0.383957,0.609058,0.5176771
0.8500625,0.27715942,0.38423362,0.6090444,0.5182642
0.8600624,0.27745578,0.38397032,0.609195,0.51754624
0.87006235,0.27670726,0.3842332,0.6095743,0.5183253
0.8800622,0.2772521,0.38417083,0.60915846,0.5172734
0.89006203,0.2769214,0.38400498,0.6093817,0.51838106
0.9000735,0.27719298,0.38436782,0.609834,0.5183117
0.91006917,0.27709228,0.38377678,0.60980463,0.5183213
0.9200618,0.27718237,0.38411316,0.60914177,0.5180012
0.93006176,0.27672833,0.38426834,0.6097925,0.51821923
0.94006085,0.27633,0.38435403,0.6095287,0.51867557
0.9500618,0.2767772,0.38435096,0.60960287,0.5174787
0.9600625,0.27662897,0.38387197,0.60928863,0.51823646
0.970063,0.2764003,0.3840782,0.60881704,0.51793855
0.9800626,0.27660176,0.38422596,0.61002856,0.5185604
0.9900627,0.27622175,0.3840413,0.61063033,0.51769805
1.0000659,0.27591026,0.38445008,0.6097671,0.5185976
1.0100622,0.27579734,0.38307402,0.6099133,0.5174904
1.020062,0.27655223,0.3837896,0.60974944,0.5172701
1.0300605,0.2764097,0.38336623,0.6091163,0.5177752
1.0400628,0.2770475,0.38418862,0.6088646,0.5179542
1.0500616,0.2771303,0.38412514,0.6092212,0.5183256
1.0600624,0.27583718,0.38446298,0.6093048,0.5177033
1.0700611,0.27660143,0.38423872,0.60941654,0.51796806
1.0800618,0.27637875,0.3837418,0.6092178,0.51800495
1.0900624,0.27656874,0.38393894,0.6098007,0.5183314
1.100062,0.27615598,0.38489693,0.60950685,0.5183838
1.1100608,0.27659503,0.38387746,0.6094863,0.5179335
1.1200627,0.27734312,0.38294253,0.6094083,0.51860344
1.1300632,0.27677888,0.38434845,0.6092739,0.51843435
1.140062,0.2764554,0.383872,0.6094469,0.518146
1.1500617,0.27681515,0.38379562,0.60877264,0.51773804
1.1600616,0.2758693,0.3845871,0.6090936,0.5174941
1.1700621,0.27730516,0.3833563,0.60858536,0.5176691
1.1800618,0.2767331,0.3841474,0.60945225,0.51807946
1.1900613,0.2772534,0.38436761,0.60947734,0.51739347
1.2000618,0.2773859,0.38374573,0.6087663,0.51773214
1.2100638,0.27590972,0.38341832,0.6101847,0.5175093
1.2200614,0.27731556,0.38390794,0.6095325,0.51835114
1.2300625,0.2773826,0.3842205,0.6087349,0.51814806
1.240061,0.2764216,0.38477948,0.6097266,0.51781994
1.2500621,0.27653053,0.38432735,0.60871226,0.5182349
1.2600613,0.2776175,0.38486674,0.6085432,0.5180711
1.2700619,0.27645475,0.3839194,0.6093541,0.51773906
1.2800618,0.27691165,0.38432834,0.6091505,0.51714855
