elapsed_time_sec,ch1_voltage,ch2_voltage,ch3_voltage,ch4_voltage,ch5_voltage,ch6_voltage,ch7_voltage,ch8_voltage
0.33070675,-0.00150846,-0.007639822,-0.007538957,2.7410085,5.08,5.08,5.08,5.08
0.34007752,-0.001184284,-0.005603149,-0.00408666,2.7314193,5.08,5.08,5.08,5.08
0.3500915,-0.002062366,-0.007114422,-0.005460837,2.7379444,5.08,5.08,5.08,5.08
0.36007106,-0.001297405,-0.005139097,-0.003199634,2.7141898,5.08,5.08,5.08,5.08
0.37007922,-0.005486089,-0.009385726,-0.007914418,2.758133,5.08,5.08,5.08,5.08
0.38008094,-0.003517826,-0.007683126,-0.006430444,2.736329,5.08,5.08,5.08,5.08
0.39007542,-0.000997642,-0.00519451,-0.003483575,2.7313576,5.08,5.08,5.08,5.08
0.40007833,-0.003825029,-0.009996691,-0.005246269,2.7374,5.08,5.08,5.08,5.08
0.4100765,-0.0017281,-0.004865627,-0.004410741,2.7208953,5.08,5.08,5.08,5.08
0.4200874,-0.004786097,-0.009883546,-0.006831324,2.715891,5.08,5.08,5.08,5.08
0.43007964,-0.003655762,-0.007920344,-0.00534768,2.740678,5.08,5.08,5.08,5.08
0.44007602,-0.001441988,-0.005388155,-0.003631775,2.7312222,5.08,5.08,5.08,5.08
0.45009404,-0.003588459,-0.008305233,-0.003746507,2.7390063,5.08,5.08,5.08,5.08
0.46007028,-0.0019635,-0.005160636,-0.005427684,2.717194,5.08,5.08,5.08,5.08
0.47008145,-0.005684787,-0.010212702,-0.007741731,2.748188,5.08,5.08,5.08,5.08
0.48008084,-0.004143939,-0.004109345,-0.004300802,2.715645,5.08,5.08,5.08,5.08
0.49007645,-0.001711094,-0.004934065,-0.00419104,2.7320347,5.08,5.08,5.08,5.08
0.5000908,-0.003403058,-0.00727774,-0.00496776,2.7327166,5.08,5.08,5.08,5.08
0.51006967,-0.001412714,-0.005974507,-0.003730409,2.7035685,5.08,5.08,5.08,5.08
0.52008414,-0.005643066,-0.009978547,-0.007558922,2.7403646,5.08,5.08,5.08,5.08
0.53008574,-0.003516063,-0.005411648,-0.004756953,2.7349572,5.08,5.08,5.08,5.08
0.54007345,-0.001250638,-0.005294586,-0.004298969,2.6897192,5.08,5.08,5.08,5.08
0.55008847,-0.003277818,-0.008113907,-0.004535832,2.7294576,5.08,5.08,5.08,5.08
0.5600716,-0.001185869,-0.005904876,-0.00487671,2.7435286,5.08,5.08,5.08,5.08
0.5700842,-0.005667161,-0.009372183,-0.008560595,2.747387,5.08,5.08,5.08,5.08
0.5800806,-0.003731519,-0.007835669,-0.006812527,2.7245777,5.08,5.08,5.08,5.08
0.5900738,-0.001004857,-0.005507107,-0.004172222,2.7218242,5.08,5.08,5.08,5.08
0.6000872,-0.003274187,-0.006505054,-0.005553898,2.7345307,5.08,5.08,5.08,5.08
0.610068,-0.001531749,-0.005611701,-0.003923117,2.719724,5.08,5.08,5.08,5.08
0.6200861,-0.005189223,-0.009823496,-0.006849219,2.7544973,5.08,5.08,5.08,5.08
0.63009477,-0.003965638,-0.005702952,-0.005512539,2.730058,5.08,5.08,5.08,5.08
0.6400742,-0.001343782,-0.005310624,-0.003201976,2.7149212,5.08,5.08,5.08,5.08
0.650082,-0.003782969,-0.00652813,-0.005897531,2.7329562,5.08,5.08,5.08,5.08
0.6600707,-0.00216799,-0.005621541,-0.00415228,2.7223437,5.08,5.08,5.08,5.08
0.67009,-0.005723878,-0.00980262,-0.007213206,2.7571867,5.08,5.08,5.08,5.08
0.68008256,-0.002032091,-0.005038041,-0.005246245,2.7479403,5.08,5.08,5.08,5.08
0.69007343,-0.001368739,-0.005372864,-0.004246394,2.7312112,5.08,5.08,5.08,5.08
0.7000846,-0.003751046,-0.007005914,-0.004876816,2.7337813,5.08,5.08,5.08,5.08
0.71006864,-0.001339489,-0.005437621,-0.004103408,2.7307498,5.08,5.08,5.08,5.08
0.72008616,-0.005633736,-0.009868679,-0.007181261,2.7531807,5.08,5.08,5.08,5.08
0.7300856,-0.004175122,-0.005953796,-0.005480043,2.7489283,5.08,5.08,5.08,5.08
0.7400737,-0.001799956,-0.005322132,-0.004379351,2.736524,5.08,5.08,5.08,5.08
0.7500903,-0.003535272,-0.007335282,-0.005915874,2.7383442,5.08,5.08,5.08,5.08
0.7600704,-0.001767534,-0.005502944,-0.003729733,2.72875,5.08,5.08,5.08,5.08
0.7700934,-0.00505706,-0.008700473,-0.006835665,2.7479699,5.08,5.08,5.08,5.08
0.7800874,-0.002222883,-0.007463129,-0.00562412,2.7500348,5.08,5.08,5.08,5.08
0.7900742,-0.001088988,-0.004817015,-0.003861494,2.7254632,5.08,5.08,5.08,5.08
0.80009025,-0.003812882,-0.007420218,-0.00519904,2.7306395,5.08,5.08,5.08,5.08
0.810069,-0.001319086,-0.005387398,-0.003050001,2.7329164,5.08,5.08,5.08,5.08
0.8200888,-0.005580132,-0.009396844,-0.007416968,2.7561252,5.08,5.08,5.08,5.08
0.8300917,-0.003880348,-0.007906329,-0.005403981,2.7306235,5.08,5.08,5.08,5.08
0.84007466,-0.00127718,-0.005329773,-0.003430099,2.7237082,5.08,5.08,5.08,5.08
0.8500971,-0.00282506,-0.006823624,-0.005350529,2.7323446,5.08,5.08,5.08,5.08
0.86007243,-0.002411974,-0.004279663,-0.003757007,2.7248795,5.08,5.08,5.08,5.08
0.8700895,-0.00555326,-0.009861745,-0.007267947,2.748214,5.08,5.08,5.08,5.08
