elapsed_time_sec,temperature_c_lp_ma,humidity_pct_lp_ma,pressure_hpa_lp_ma
2e-06,25.1242,50.252,1013.03
0.100095,25.1242,50.2519,1013.03
0.200095,25.1244,50.2516,1013.03
0.300085,25.1247,50.2523,1013.03
0.400091,25.1251,50.2532,1013.03
0.500092,25.1253,50.2531,1013.03
0.600089,25.1255,50.2536,1013.03
0.700094,25.1259,50.2545,1013.03
0.800093,25.1262,50.255,1013.03
0.900092,25.1263,50.2553,1013.03
1.0001,25.1266,50.2555,1013.03
1.10009,25.1268,50.2557,1013.03
1.2001,25.1272,50.2559,1013.03
1.30009,25.1273,50.2568,1013.03
1.40009,25.1276,50.2571,1013.03
1.50009,25.1277,50.2572,1013.03
1.60009,25.1281,50.2578,1013.03
1.70008,25.1283,50.2581,1013.03
1.80008,25.1285,50.2586,1013.03
1.90008,25.1288,50.2595,1013.03
2.00008,25.1291,50.2599,1013.03
2.10008,25.1292,50.2604,1013.03
2.2001,25.1294,50.2607,1013.03
2.30009,25.1297,50.2615,1013.03
2.40008,25.1299,50.2621,1013.03
2.50008,25.1303,50.2626,1013.03
2.60008,25.1306,50.263,1013.03
2.70008,25.1309,50.2636,1013.03
2.80009,25.1311,50.2642,1013.03
2.90008,25.1314,50.2642,1013.03
3.00008,25.1315,50.2647,1013.03
3.10008,25.1318,50.2655,1013.03
3.2001,25.132,50.2659,1013.03
3.30009,25.1323,50.2664,1013.03
3.40009,25.1326,50.2671,1013.03
3.5001,25.1329,50.2675,1013.03
3.6001,25.1332,50.2683,1013.03
3.70009,25.1334,50.2688,1013.03
3.80009,25.1337,50.2693,1013.03
3.90008,25.134,50.2695,1013.03
4.00009,25.1341,50.2705,1013.03
4.1001,25.1342,50.2706,1013.03
4.2001,25.1344,50.2714,1013.03
4.30013,25.1346,50.2716,1013.03
4.40013,25.1347,50.2722,1013.03
4.50012,25.135,50.2723,1013.03
4.60009,25.1352,50.2729,1013.03
4.70009,25.1353,50.2733,1013.03
4.80008,25.1356,50.2735,1013.03
4.90008,25.1358,50.2741,1013.03
5.00009,25.1359,50.2744,1013.03
5.10009,25.1362,50.2747,1013.03
5.2001,25.1364,50.275,1013.03
5.30009,25.1368,50.2755,1013.03
5.40008,25.137,50.2756,1013.03
5.50009,25.1372,50.2757,1013.03
5.6001,25.1377,50.2758,1013.03
5.7001,25.1379,50.2765,1013.03
5.80009,25.138,50.2776,1013.03
5.90009,25.1382,50.2782,1013.03
6.00009,25.1384,50.2789,1013.03
6.10009,25.1386,50.2799,1013.03
6.2001,25.1389,50.2809,1013.03
6.30009,25.1391,50.2814,1013.03
6.40009,25.1394,50.2823,1013.03
6.5001,25.1396,50.2835,1013.03
6.60009,25.1399,50.284,1013.03
6.7001,25.1401,50.2849,1013.03
6.80009,25.1401,50.2857,1013.03
6.90009,25.1404,50.2861,1013.03
7.00009,25.1408,50.2863,1013.03
7.10009,25.141,50.2869,1013.03
7.2001,25.1413,50.2877,1013.03
7.30009,25.1413,50.2881,1013.03
7.4001,25.1413,50.2887,1013.03
7.5001,25.1415,50.2892,1013.03
7.60009,25.1417,50.2894,1013.03
7.7001,25.142,50.2894,1013.03
7.80009,25.1423,50.29,1013.03
7.90009,25.1425,50.2908,1013.03
8.00009,25.1428,50.2911,1013.03
8.10009,25.143,50.2919,1013.03
8.20009,25.1431,50.2924,1013.03
8.30009,25.1433,50.2933,1013.03
8.40009,25.1435,50.2936,1013.03
8.50012,25.1439,50.2936,1013.03
8.60009,25.1442,50.2944,1013.03
8.7001,25.1444,50.2952,1013.03
8.80009,25.1446,50.2956,1013.04
8.9001,25.1448,50.2962,1013.04
9.00008,25.1448,50.2965,1013.04
9.10008,25.145,50.2971,1013.04
9.20009,25.1453,50.2979,1013.04
9.30008,25.1456,50.298,1013.04
9.40008,25.1458,50.2986,1013.04
9.50009,25.1461,50.2989,1013.04
9.60008,25.1463,50.2992,1013.04
9.70009,25.1465,50.2992,1013.04
9.80009,25.1468,50.2998,1013.04
9.90009,25.147,50.3,1013.04
10.0001,25.1473,50.3003,1013.04
10.1001,25.1473,50.3003,1013.04
10.2001,25.1473,50.3003,1013.04
10.3001,25.1473,50.3003,1013.04
10.4001,25.1473,50.3003,1013.04
10.5001,25.1473,50.3003,1013.04
10.6001,25.1473,50.3003,1013.04
10.7001,25.1473,50.3003,1013.04
10.8001,25.1473,50.3003,1013.04
10.9001,25.1473,50.3003,1013.04
11.0001,25.1473,50.3003,1013.04
11.1001,25.1473,50.3003,1013.04
11.2001,25.1473,50.3003,1013.04
11.3001,25.1473,50.3003,1013.04
11.4001,25.1473,50.3003,1013.04
11.5001,25.1473,50.3003,1013.04
11.6001,25.1473,50.3003,1013.04
11.7001,25.1473,50.3003,1013.04
11.8001,25.1473,50.3003,1013.04
11.9001,25.1473,50.3003,1013.04
12.0001,25.1473,50.3003,1013.04
12.1001,25.1473,50.3003,1013.04
12.2001,25.1473,50.3003,1013.04
12.3001,25.1473,50.3003,1013.04
12.4001,25.1473,50.3003,1013.04
12.5001,25.1473,50.3003,1013.04
12.6001,25.1473,50.3003,1013.04
12.7001,25.1473,50.3003,1013.04
12.8001,25.1473,50.3003,1013.04
12.9001,25.1473,50.3003,1013.04
13.0001,25.1473,50.3003,1013.04
13.1001,25.1473,50.3003,1013.04
13.2001,25.1473,50.3003,1013.04
13.3001,25.1473,50.3003,1013.04
13.4001,25.1473,50.3003,1013.04
13.5001,25.1473,50.3003,1013.04
13.6001,25.1473,50.3003,1013.04
13.7001,25.1473,50.3003,1013.04
13.8001,25.1473,50.3003,1013.04
13.9001,25.1473,50.3003,1013.04
14.0001,25.1473,50.3003,1013.04
14.1001,25.1473,50.3003,1013.04
14.2001,25.1473,50.3003,1013.04
14.3001,25.1473,50.3003,1013.04
14.4001,25.1473,50.3003,1013.04
14.5001,25.1473,50.3003,1013.04
14.6001,25.1473,50.3003,1013.04
14.7001,25.1473,50.3003,1013.04
14.8001,25.1473,50.3003,1013.04
14.9001,25.1473,50.3003,1013.04
15.0001,25.1473,50.3003,1013.04
15.1001,25.1473,50.3003,1013.04
15.2001,25.1473,50.3003,1013.04
15.3001,25.1473,50.3003,1013.04
15.4001,25.1473,50.3003,1013.04
15.5001,25.1473,50.3003,1013.04
15.6001,25.1473,50.3003,1013.04
15.7001,25.1473,50.3003,1013.04
15.8001,25.1473,50.3003,1013.04
15.9001,25.1473,50.3003,1013.04
16.0001,25.1473,50.3003,1013.04
16.1001,25.1473,50.3003,1013.04
16.2001,25.1473,50.3003,1013.04
16.3001,25.1473,50.3003,1013.04
16.4001,25.1473,50.3003,1013.04
