elapsed_time_sec,ss1_lp_ma,ss2_lp_ma,ss3_lp_ma,ss4_lp_ma
1.8e-06,2.81761,2.60476,2.50046,2.56435
0.0106082,2.81699,2.60356,2.50047,2.56519
0.0203593,2.81632,2.60237,2.50049,2.56605
0.030353,2.81567,2.60118,2.50051,2.5669
0.0405006,2.81503,2.59997,2.50053,2.56776
0.0506087,2.81438,2.59878,2.5006,2.56857
0.0601395,2.81372,2.59762,2.50066,2.56941
0.0705714,2.81305,2.59645,2.50073,2.57026
0.0803282,2.81239,2.59531,2.50083,2.57111
0.0906686,2.81173,2.59415,2.50096,2.57196
0.100744,2.81105,2.59298,2.50108,2.57278
0.110586,2.81039,2.59183,2.5012,2.5736
0.120632,2.80971,2.59069,2.50133,2.57444
0.130505,2.80901,2.58953,2.50147,2.57526
0.140617,2.80833,2.5884,2.50165,2.57605
0.150598,2.80765,2.58726,2.50183,2.57683
0.160767,2.80698,2.58613,2.50199,2.57761
0.170373,2.80628,2.58502,2.50219,2.57841
0.180471,2.8056,2.58392,2.50242,2.57919
0.190468,2.80488,2.58282,2.50263,2.57998
0.20048,2.80417,2.58169,2.50286,2.58075
0.210565,2.80347,2.58061,2.50311,2.58151
0.220306,2.80277,2.57953,2.50336,2.58226
0.230538,2.80209,2.57847,2.50363,2.58301
0.240227,2.80138,2.57738,2.5039,2.58374
0.250355,2.80065,2.57632,2.50417,2.58447
0.260329,2.79991,2.57524,2.50447,2.58517
0.270238,2.79918,2.57418,2.50478,2.58587
0.280389,2.79844,2.57312,2.50508,2.58656
0.290475,2.79769,2.5721,2.50541,2.58721
0.30039,2.79695,2.57109,2.50573,2.58789
0.310815,2.79622,2.57009,2.50605,2.58855
0.320511,2.79547,2.56906,2.50641,2.58922
0.330644,2.79472,2.56805,2.50675,2.58986
0.34048,2.79398,2.56701,2.50712,2.59049
0.350439,2.79321,2.566,2.50748,2.59113
0.360379,2.79246,2.56502,2.50789,2.59178
0.370428,2.79169,2.56402,2.50829,2.59238
0.380231,2.79095,2.56302,2.5087,2.59299
0.390452,2.79019,2.56199,2.50911,2.59357
0.400277,2.78941,2.56101,2.50952,2.59416
0.410409,2.78864,2.56004,2.50995,2.5947
0.420569,2.78787,2.55909,2.5104,2.59523
0.43052,2.78712,2.55814,2.51084,2.59574
0.440609,2.78634,2.55717,2.5113,2.59626
0.450203,2.78555,2.55622,2.51177,2.59678
0.460244,2.78479,2.55528,2.51225,2.59728
0.47037,2.78402,2.55436,2.51275,2.59778
0.48014,2.78325,2.55346,2.51323,2.59829
0.490552,2.78247,2.55253,2.51372,2.59878
0.50022,2.78169,2.55162,2.51421,2.59925
