elapsed_time_sec,ss1_lp_ma,ss2_lp_ma,ss3_lp_ma,ss4_lp_ma
1.537e-06,2.81818,2.60565,2.50008,2.56503
0.0101181,2.81752,2.60445,2.50012,2.56592
0.0200881,2.81688,2.60324,2.50012,2.5668
0.0300826,2.81622,2.60205,2.50015,2.56769
0.0400675,2.81558,2.60087,2.50019,2.56855
0.050155,2.81494,2.59969,2.50023,2.56942
0.0600877,2.8143,2.59852,2.50031,2.57028
0.0700761,2.81367,2.59737,2.5004,2.57111
0.0801612,2.813,2.59622,2.50051,2.57192
0.0901023,2.81234,2.59503,2.50063,2.57273
0.100082,2.81167,2.59383,2.50075,2.57356
0.110063,2.81099,2.59268,2.50089,2.57438
0.120065,2.81034,2.59156,2.50104,2.57518
0.130062,2.80965,2.59041,2.50119,2.57598
0.140059,2.80897,2.58927,2.50137,2.57679
0.15006,2.80827,2.5881,2.50157,2.5776
0.160058,2.80759,2.58695,2.50173,2.57838
0.17006,2.80688,2.58584,2.50193,2.57915
0.18006,2.80618,2.58473,2.50214,2.57991
0.190058,2.80547,2.58363,2.50239,2.58064
0.200058,2.80476,2.58251,2.50261,2.58138
0.210058,2.80405,2.5814,2.5029,2.58212
0.220062,2.80334,2.5803,2.50315,2.58285
0.230062,2.80262,2.57919,2.50342,2.58358
0.240061,2.80192,2.57811,2.50372,2.5843
0.250059,2.8012,2.57705,2.504,2.58501
0.260058,2.80047,2.576,2.50428,2.58573
0.270059,2.79973,2.57495,2.50456,2.58643
0.280058,2.79902,2.57388,2.50487,2.58714
0.290059,2.79831,2.57282,2.50519,2.58785
0.300058,2.79757,2.57178,2.50551,2.58853
0.310058,2.79682,2.57071,2.50585,2.58921
0.320061,2.79608,2.5697,2.50621,2.58987
0.330081,2.79536,2.56868,2.50655,2.59051
0.340079,2.79463,2.56766,2.50692,2.59113
0.350081,2.7939,2.56665,2.50729,2.59175
0.360605,2.79315,2.56565,2.50767,2.59239
0.370092,2.79241,2.56465,2.50805,2.59298
0.380083,2.79164,2.56365,2.50846,2.5936
0.390075,2.79087,2.56267,2.50888,2.59421
0.400075,2.7901,2.56171,2.5093,2.59478
0.410084,2.78934,2.56074,2.50971,2.59535
0.420097,2.78857,2.55976,2.51017,2.5959
0.430088,2.78779,2.55879,2.51063,2.59645
0.440081,2.78702,2.55784,2.51106,2.59702
0.450075,2.78625,2.5569,2.51153,2.59754
0.460081,2.78547,2.55598,2.51202,2.59806
0.470086,2.7847,2.55505,2.51249,2.59856
0.480081,2.7839,2.55415,2.51297,2.59902
0.490075,2.7831,2.55323,2.51343,2.59951
0.500075,2.78229,2.55231,2.51394,2.59999
0.510079,2.7815,2.55141,2.51444,2.60045
0.520093,2.78074,2.5505,2.51495,2.60089
0.530082,2.77994,2.54959,2.51547,2.60129
0.540071,2.77913,2.5487,2.516,2.6017
0.550325,2.77832,2.54781,2.51653,2.60212
0.560083,2.7775,2.54694,2.51709,2.60252
0.570091,2.77666,2.54612,2.51766,2.60289
0.580085,2.77586,2.5453,2.51824,2.60325
0.590078,2.77507,2.54448,2.51883,2.60363
0.600073,2.77425,2.54366,2.51944,2.60398
0.610081,2.77344,2.54283,2.52002,2.60434
0.620076,2.77265,2.54202,2.5206,2.60467
0.630082,2.77183,2.54121,2.52119,2.60499
0.640076,2.77101,2.54037,2.5218,2.60528
0.650072,2.77018,2.5396,2.52239,2.60558
0.660086,2.76933,2.53883,2.523,2.60584
0.670084,2.76849,2.53805,2.52361,2.60609
0.680081,2.76766,2.53728,2.52422,2.60634
0.690075,2.76683,2.53652,2.52482,2.60658
0.700072,2.766,2.53577,2.52543,2.60679
0.710081,2.76517,2.53501,2.52602,2.607
0.721616,2.76435,2.53429,2.52667,2.60717
0.730088,2.76352,2.53355,2.52731,2.60735
0.740072,2.76268,2.53284,2.52798,2.6075
0.750069,2.76182,2.5321,2.52865,2.60766
0.760076,2.76098,2.5314,2.52931,2.6078
0.770081,2.76012,2.53071,2.52997,2.60792
0.780078,2.75928,2.53001,2.53064,2.60802
0.790071,2.75842,2.52931,2.53131,2.60813
0.800097,2.75754,2.52862,2.53198,2.60822
0.810088,2.75667,2.52794,2.53266,2.6083
0.820069,2.7558,2.5273,2.53333,2.60837
0.830113,2.75492,2.52665,2.53401,2.60842
0.841903,2.75403,2.526,2.53471,2.60844
0.85008,2.75318,2.52537,2.5354,2.60847
0.860065,2.75232,2.52472,2.53605,2.60846
0.870477,2.75146,2.5241,2.53675,2.60844
0.880084,2.75059,2.52347,2.53745,2.6084
0.890071,2.74972,2.52286,2.53815,2.60837
0.900064,2.74887,2.52228,2.53885,2.60831
0.910061,2.74799,2.52168,2.53957,2.60822
0.920059,2.74711,2.52111,2.54028,2.60815
0.93006,2.74623,2.52054,2.54098,2.60807
0.940059,2.74537,2.51995,2.54167,2.60797
0.950058,2.74449,2.51938,2.5424,2.60786
0.960058,2.74363,2.51885,2.54311,2.60773
0.970059,2.74276,2.51829,2.54382,2.60759
0.980058,2.74188,2.51775,2.54452,2.60744
0.990057,2.74099,2.51721,2.54522,2.60728
1.00006,2.74011,2.51668,2.54593,2.60709
1.01008,2.73923,2.51618,2.54664,2.60689
1.02008,2.73834,2.51568,2.54734,2.60668
1.03008,2.73746,2.51516,2.54802,2.60648
1.04007,2.73659,2.51469,2.54873,2.60627
1.05006,2.73572,2.51421,2.54943,2.60601
1.06008,2.73482,2.51375,2.55012,2.60578
1.07008,2.73394,2.51331,2.55083,2.60551
1.08008,2.73303,2.51285,2.55155,2.60523
1.09006,2.73214,2.51239,2.55228,2.60497
1.10006,2.73123,2.51193,2.553,2.60466
1.11006,2.73033,2.51151,2.55374,2.60434
