elapsed_time_sec,ss1_lp_ma,ss2_lp_ma,ss3_lp_ma,ss4_lp_ma
1.09007,0.27049,0.363951,0.472968,0.389233
1.10007,0.27049,0.363954,0.472928,0.38922
1.11007,0.270489,0.363958,0.472889,0.389206
1.12007,0.270491,0.363963,0.472851,0.389192
1.13007,0.270492,0.363967,0.472813,0.389178
1.14007,0.270493,0.363972,0.472775,0.389164
1.15008,0.270493,0.363976,0.472735,0.38915
1.16008,0.270494,0.36398,0.472697,0.389135
1.17008,0.270495,0.363984,0.472658,0.389121
1.18007,0.270495,0.363989,0.47262,0.389106
1.19007,0.270496,0.363991,0.47258,0.389092
1.20008,0.270497,0.363995,0.472543,0.389078
1.21008,0.270498,0.363999,0.472506,0.389064
1.22007,0.270498,0.364002,0.472468,0.389049
1.23008,0.270499,0.364007,0.47243,0.389035
1.24008,0.2705,0.364011,0.472393,0.389021
1.25007,0.270502,0.364015,0.472356,0.389006
1.26007,0.270503,0.36402,0.472319,0.388991
1.27007,0.270504,0.364024,0.472282,0.388976
1.28008,0.270505,0.364029,0.472244,0.388962
1.29007,0.270507,0.364034,0.472208,0.388949
1.30008,0.270508,0.364039,0.472172,0.388934
1.31007,0.270509,0.364043,0.472136,0.388921
1.32008,0.27051,0.364047,0.472099,0.388907
1.33008,0.270512,0.364051,0.472062,0.388892
1.34008,0.270512,0.364056,0.472025,0.388878
1.35007,0.270513,0.36406,0.471988,0.388864
1.36007,0.270514,0.364065,0.471952,0.388849
1.37008,0.270515,0.36407,0.471916,0.388835
1.38007,0.270515,0.364074,0.47188,0.388821
1.39007,0.270516,0.364079,0.471845,0.388806
1.40007,0.270518,0.364084,0.47181,0.388791
1.41007,0.270519,0.36409,0.471775,0.388777
1.42097,0.270518,0.364094,0.47174,0.388762
1.4301,0.270515,0.364095,0.471704,0.388747
1.44009,0.270514,0.364097,0.471669,0.388733
1.45009,0.270511,0.364098,0.471633,0.388718
1.46009,0.270511,0.364103,0.471598,0.388704
1.47008,0.270511,0.364107,0.471562,0.388689
1.48008,0.270512,0.36411,0.471528,0.388674
1.49008,0.270512,0.364114,0.471494,0.388659
1.50007,0.270513,0.364118,0.471458,0.388644
1.51007,0.270514,0.364122,0.471426,0.388629
1.52008,0.270515,0.364125,0.471393,0.388615
1.53007,0.270516,0.364128,0.471361,0.3886
1.5401,0.270516,0.364134,0.471326,0.388585
1.55007,0.270517,0.364139,0.471293,0.388568
1.56008,0.270519,0.364146,0.47126,0.388552
1.57008,0.27052,0.364152,0.471228,0.388538
1.58007,0.27052,0.364157,0.471195,0.388523
1.59008,0.270523,0.364162,0.471162,0.388508
1.60008,0.270522,0.364166,0.47113,0.388493
1.61007,0.270521,0.36417,0.471098,0.388478
1.62007,0.27052,0.364175,0.471066,0.388463
1.63008,0.27052,0.364179,0.471033,0.388448
1.64007,0.270521,0.364183,0.471001,0.388433
1.65008,0.270522,0.364187,0.470969,0.388418
1.66008,0.270524,0.364192,0.470937,0.388404
1.67007,0.270525,0.364196,0.470905,0.388388
1.68007,0.270526,0.364201,0.470874,0.388374
1.69008,0.270527,0.364205,0.470843,0.388359
1.70008,0.270528,0.36421,0.470813,0.388345
1.71007,0.270528,0.364215,0.470784,0.38833
1.72008,0.270528,0.364219,0.470754,0.388316
1.73008,0.270528,0.364223,0.470724,0.388302
1.74007,0.27053,0.364229,0.470694,0.388287
1.75007,0.270531,0.364233,0.470665,0.388272
1.76007,0.270531,0.364238,0.470636,0.388257
1.77007,0.270532,0.364242,0.470606,0.388242
1.78008,0.270533,0.364246,0.470576,0.388227
1.79007,0.270534,0.364251,0.470547,0.388211
1.80008,0.270535,0.364254,0.470517,0.388197
1.81007,0.270537,0.364259,0.470487,0.388182
1.82007,0.270538,0.364263,0.470458,0.388168
1.83008,0.270539,0.364269,0.470429,0.388153
1.84008,0.270541,0.364274,0.4704,0.388139
1.85008,0.270542,0.364279,0.470372,0.388123
1.86007,0.270543,0.364284,0.470344,0.388108
1.87008,0.270544,0.364289,0.470316,0.388093
1.88008,0.270545,0.364293,0.470289,0.388078
1.89007,0.270546,0.364298,0.470261,0.388063
1.90008,0.270546,0.364302,0.470233,0.388049
1.91007,0.270547,0.364306,0.470205,0.388034
1.92009,0.270547,0.364309,0.470177,0.388018
1.93009,0.270545,0.364312,0.47015,0.388002
1.9401,0.270541,0.364314,0.470122,0.387988
1.9501,0.270539,0.364315,0.470094,0.387973
1.96009,0.270536,0.36431,0.470064,0.387958
1.97016,0.270536,0.36431,0.470037,0.387943
1.98008,0.270533,0.364311,0.47001,0.387928
1.9901,0.27053,0.364311,0.469982,0.387913
2.00009,0.270528,0.364312,0.469956,0.387898
2.01009,0.270524,0.364314,0.469929,0.387883
2.02008,0.270522,0.364317,0.469903,0.387868
2.03008,0.270518,0.364318,0.469875,0.387853
2.04007,0.270514,0.364317,0.469848,0.387838
2.05013,0.270512,0.364319,0.469822,0.387824
2.06007,0.270511,0.364322,0.469796,0.387809
2.07007,0.270511,0.364326,0.46977,0.387794
2.08007,0.270512,0.364328,0.469744,0.387778
2.09007,0.270512,0.364332,0.469719,0.387763
2.10007,0.270512,0.364336,0.469693,0.387748
2.11007,0.270511,0.36434,0.469668,0.387733
2.12007,0.270511,0.364345,0.469644,0.387719
2.13007,0.270512,0.364349,0.46962,0.387704
2.14007,0.270513,0.364355,0.469596,0.387689
2.15007,0.270514,0.36436,0.469572,0.387674
2.16008,0.270515,0.364364,0.469548,0.387659
2.17008,0.270517,0.364369,0.469525,0.387644
2.18007,0.270518,0.364374,0.469501,0.387628
2.19007,0.270519,0.36438,0.469478,0.387612
2.20007,0.27052,0.364384,0.469454,0.387598
2.21007,0.270522,0.364388,0.469431,0.387582
2.22008,0.270523,0.364392,0.469407,0.387568
2.23008,0.270524,0.364396,0.469385,0.387552
2.24007,0.270525,0.364401,0.469362,0.387537
2.25007,0.270526,0.364406,0.469339,0.387522
2.26008,0.270527,0.36441,0.469317,0.387507
2.27007,0.270527,0.364415,0.469293,0.387491
2.28007,0.270528,0.36442,0.46927,0.387475
2.29007,0.270529,0.364425,0.469249,0.38746
2.30008,0.27053,0.36443,0.469226,0.387445
2.31007,0.270531,0.364434,0.469206,0.387431
2.32007,0.270532,0.364438,0.469184,0.387417
2.33008,0.270533,0.364443,0.469162,0.387401
2.34008,0.270534,0.36445,0.469142,0.387386
2.35007,0.270535,0.364455,0.469121,0.387371
2.36007,0.270536,0.36446,0.469099,0.387355
2.37007,0.270536,0.364465,0.469078,0.38734
2.38008,0.270537,0.364469,0.469057,0.387325
2.39008,0.270538,0.364474,0.469037,0.387309
2.40007,0.270539,0.364478,0.469017,0.387294
2.41007,0.27054,0.364482,0.468997,0.387278
2.42009,0.27054,0.364486,0.468976,0.387263
2.43009,0.270539,0.364489,0.468957,0.387247
2.44009,0.270539,0.364491,0.468936,0.387232
2.45009,0.270538,0.364493,0.468916,0.387217
2.46009,0.270532,0.364497,0.468896,0.387201
2.47008,0.270531,0.364502,0.468877,0.387186
2.48007,0.270531,0.364505,0.468857,0.38717
2.49007,0.270533,0.364509,0.468838,0.387154
2.50008,0.270534,0.364514,0.46882,0.387138
2.51007,0.270535,0.364519,0.468802,0.387123
2.52007,0.270536,0.364523,0.468783,0.387108
2.53007,0.270537,0.364528,0.468766,0.387092
2.54008,0.270538,0.364532,0.468748,0.387077
2.55008,0.270538,0.364537,0.46873,0.387062
2.5601,0.270538,0.364542,0.468712,0.387046
2.57007,0.270538,0.364546,0.468695,0.387031
2.58007,0.270539,0.364551,0.468678,0.387017
2.59007,0.270539,0.364556,0.46866,0.387002
2.60008,0.27054,0.364561,0.468643,0.386987
2.61008,0.270541,0.364565,0.468625,0.386972
2.62007,0.270541,0.364569,0.468608,0.386957
2.63008,0.270542,0.364574,0.468592,0.386942
2.64007,0.270544,0.364579,0.468575,0.386926
2.65007,0.270545,0.364584,0.468559,0.386911
2.66009,0.270545,0.36459,0.468542,0.386896
2.67007,0.270545,0.364594,0.468525,0.38688
2.68008,0.270547,0.364598,0.468508,0.386865
2.69007,0.270548,0.364602,0.468492,0.386849
2.70008,0.270548,0.364607,0.468477,0.386833
2.71007,0.270549,0.364612,0.468462,0.386817
2.72008,0.27055,0.364617,0.468446,0.386802
2.73007,0.270551,0.364622,0.468431,0.386786
2.74008,0.270552,0.364627,0.468416,0.386771
2.75007,0.270553,0.364632,0.468401,0.386756
2.76009,0.270553,0.364635,0.468385,0.38674
2.77007,0.270552,0.364639,0.46837,0.386724
2.78008,0.270551,0.364642,0.468355,0.386708
2.79007,0.270551,0.364646,0.468339,0.386692
2.80008,0.27055,0.364649,0.468324,0.386677
2.81007,0.270548,0.364651,0.46831,0.38666
2.82008,0.270547,0.364653,0.468295,0.386645
2.83008,0.270546,0.364655,0.468281,0.386629
2.84008,0.270547,0.364659,0.468265,0.386614
2.85008,0.270547,0.364662,0.468251,0.386599
2.86009,0.270548,0.364666,0.468237,0.386583
2.87008,0.270547,0.364671,0.468223,0.386568
2.88007,0.270548,0.364675,0.468209,0.386552
2.89008,0.27055,0.364679,0.468195,0.386536
2.90007,0.270552,0.364684,0.468182,0.386521
2.91007,0.270554,0.36469,0.468168,0.386505
2.92009,0.270554,0.364695,0.468155,0.38649
2.93009,0.270553,0.364699,0.468143,0.386474
2.9401,0.270551,0.3647,0.468129,0.386458
2.9501,0.270548,0.364702,0.468116,0.386443
2.96011,0.270539,0.364698,0.468103,0.386426
2.97012,0.270537,0.364701,0.468091,0.386411
2.98009,0.270536,0.364703,0.468077,0.386396
2.9901,0.270534,0.364705,0.468064,0.386381
3.00009,0.270533,0.364707,0.468051,0.386365
3.01008,0.270533,0.36471,0.468038,0.386349
3.02008,0.270533,0.364714,0.468026,0.386333
3.03008,0.270534,0.364718,0.468014,0.386318
3.04008,0.270535,0.364722,0.468002,0.386303
3.05007,0.270535,0.364726,0.467991,0.386287
3.06008,0.270535,0.36473,0.467979,0.386272
3.07007,0.270536,0.364734,0.467968,0.386257
3.08008,0.270536,0.364738,0.467956,0.386242
3.09007,0.270536,0.364742,0.467945,0.386227
3.10007,0.270536,0.364746,0.467934,0.386211
3.11007,0.270536,0.36475,0.467922,0.386197
3.12008,0.270536,0.364754,0.467912,0.386182
3.13008,0.270537,0.364758,0.467901,0.386167
