elapsed_time_sec,ch1_voltage_lp_ma,ch2_voltage_lp_ma,ch3_voltage_lp_ma,ch4_voltage_lp_ma,ch5_voltage_lp_ma,ch6_voltage_lp_ma,ch7_voltage_lp_ma,ch8_voltage_lp_ma
8.329989e-07,1.6973899475835348,1.0861577734946075,1.0814902814846894,1.2896535766066375,0.6553215264645527,1.520315818035885,1.059575859600138,0.9587252773036187
0.010061359,1.6974071127648966,1.0861567734178532,1.081495110267616,1.2896861812717029,0.6553095349451412,1.5203582123610118,1.0596015829542043,0.9587310189227863
0.020057421,1.69741343395492,1.0861550417106867,1.0815140514778967,1.289713680329327,0.6553051058715859,1.5204062052692324,1.0596267978303044,0.9587441963059035
0.030057834,1.6974120116471092,1.086168511660384,1.0815275861137181,1.28972993497857,0.6553176679302138,1.5204362126769093,1.0596542401128441,0.9587655541402433
0.040056806,1.6974128205489274,1.0861893832813503,1.0815323250838051,1.2897683559793762,0.655334389986374,1.5204626922746185,1.0596932388415656,0.9587904412100372
0.050056793,1.6974300112492389,1.0862005174253935,1.0815281587247312,1.2898125036792645,0.6553396898488626,1.5204927407330997,1.0597390419457864,0.9588055090449638
0.060057484,1.6974511908668202,1.0862044319420117,1.0815343629526197,1.2898494973449832,0.6553331141609583,1.5205366672724792,1.05976799340709,0.9588082451888015
0.07005686,1.6974721393057677,1.0862084367727467,1.0815580577736412,1.289884360861464,0.655332867136055,1.5205848992465119,1.0597961861213585,0.958826351494864
0.08005659,1.6974785688447196,1.0862220540835306,1.0815778771831628,1.2899065403211372,0.655349805554692,1.5206160956349708,1.0598277251047312,0.9588557722386216
0.090056725,1.6974845955545796,1.086252336407777,1.0815889166479236,1.2899326733518306,0.655366321820763,1.5206441160455968,1.0598682148328735,0.9588733509174088
0.10005745,1.6975056750735946,1.0862648136526114,1.0815952074573945,1.2899762197101827,0.6553775332635811,1.5206714175390466,1.0599117779815783,0.9588832748765093
0.11005739,1.6975307470840313,1.086270740415276,1.0815956061017915,1.290016421501125,0.6553785405080498,1.5207155937666479,1.0599460460383656,0.9588911437728859
0.120065,1.697553232003269,1.0862689304119537,1.081617841379125,1.2900493182006023,0.6553847846579505,1.520773244617432,1.0599827497527947,0.9588979727552193
0.13005643,1.6975603650971591,1.0862703832331815,1.08163281242315,1.290073481328949,0.6554079030655598,1.5208186355192101,1.0600106185390359,0.958928049074528
0.1400556,1.697561667548052,1.0862872221040396,1.0816449918891338,1.2900985080766136,0.6554314431485098,1.5208454170369632,1.0600296378242677,0.9589491605635025
0.15005638,1.6975743843568885,1.086305046920251,1.0816491161171196,1.290146578104822,0.6554524147946649,1.5208760633771066,1.0600710771865016,0.9589622162883784
0.16005582,1.6975944139256478,1.0863124162474,1.081649561579077,1.290191693910271,0.6554535928899189,1.5209138985504906,1.0601104193701518,0.9589787975996167
0.17005631,1.6976132495076306,1.0863092019913791,1.0816662187212474,1.2902320314001017,0.655448526033051,1.5209627138522437,1.0601385810415234,0.9589888932745687
0.18005587,1.697618501851331,1.0863136688710908,1.0816861280320116,1.2902644233541474,0.6554490132640161,1.5210093776543654,1.0601624223026989,0.959016289606445
0.19005556,1.6976231992245365,1.0863311379447267,1.081700286825381,1.2902878955743924,0.655465801681164,1.5210453262114294,1.0601959182742173,0.9590396236408496
0.2000559,1.697625080539406,1.0863483369937224,1.081704894731527,1.2903178648352343,0.6554814247911885,1.5210767735934758,1.0602349135596387,0.9590605363655547
0.21005549,1.697641529510676,1.086356185205184,1.0817032865751874,1.2903597207719186,0.6554826074645094,1.5211117652162918,1.0602786450338113,0.9590831709310592
0.22005625,1.697657833351528,1.0863589518537322,1.081715085111959,1.2903986291357392,0.6554865611679968,1.521161572235022,1.0603087807255434,0.959095161823283
0.230056,1.6976714361661622,1.0863613922212794,1.0817365348598553,1.290425764424955,0.6554825779235142,1.5212112883844349,1.0603315761504561,0.9591068319322091
0.24005608,1.6976721749059753,1.0863674071964016,1.081749292083572,1.2904470421364844,0.6554911642595457,1.521247536688788,1.0603549778176784,0.9591255826001468
0.25005612,1.6976773354254537,1.086387066224439,1.0817525578740848,1.2904756463290388,0.6555033941256107,1.5212761518349693,1.0603891652019497,0.959142860795618
0.2600552,1.697692316165769,1.0863934593215852,1.0817507323797277,1.2905214719267253,0.6555111078593335,1.5213065478534302,1.0604325665179855,0.9591558814651239
0.27005595,1.6977125925405132,1.0863987917447469,1.0817592274499526,1.2905667189179804,0.6555105219305499,1.5213526684957295,1.0604705940554986,0.9591660820381909
0.2800558,1.6977227491781088,1.0864085777502868,1.0817799401630657,1.2906009618312726,0.6555078353147286,1.5213968003988438,1.0604922765747749,0.959179602683744
0.29005575,1.6977259282046608,1.0864258150734925,1.0817945667101019,1.2906248969035756,0.6555116936554065,1.5214350110976707,1.060513309264958,0.9592082042319565
0.3000559,1.6977295791326141,1.0864458302062028,1.0818004898983395,1.2906446990736504,0.6555167577685757,1.521461110313937,1.0605426873569084,0.9592281741618249
0.31005564,1.697748536050396,1.0864644314781429,1.0818095327213855,1.2906927648538509,0.6555246574389214,1.521493814144436,1.0605897265723958,0.9592477340494466
0.32005662,1.6977708434883867,1.0864744832259403,1.0818165791803922,1.2907230909532326,0.6555042589616609,1.5215371153903867,1.060620066847525,0.959257336665092
0.33005565,1.6977864384406727,1.0864739168290782,1.0818299322974017,1.2907475477071584,0.6554926285459179,1.5215838102219847,1.060637783935334,0.9592618901806172
0.3400555,1.6977859745021435,1.0864725945836244,1.0818399945154733,1.2907704538018359,0.6554987370981743,1.5216203758740754,1.0606474635868004,0.9592772512221147
0.35005727,1.6977814867962147,1.0864828427014925,1.0818390917712386,1.2907928751354032,0.6555066821950511,1.5216471675374381,1.0606668048007013,0.9592859235808489
0.36005646,1.6977822234855482,1.0864938295876656,1.0818352558831632,1.2908321846632704,0.6555098871017454,1.52167115163478,1.0606985118986612,0.959289808791831
0.37005544,1.6977899573122053,1.0864879868362123,1.0818348971064946,1.2908643503706723,0.6554984111639592,1.5217078221884743,1.0607188897056508,0.9592924003314528
0.38005573,1.6978022952887073,1.0864819914931292,1.0818513459785428,1.290891731085523,0.6554857943634017,1.5217486296304545,1.060729950577734,0.9592941328177723
0.39005542,1.6978071751510442,1.0864826241120191,1.081867437742181,1.2909172125682837,0.655487211328187,1.5217911593812616,1.0607501192778472,0.9593178636051369
0.40005535,1.6978008030323322,1.0864945166113527,1.0818679804417393,1.290937841065124,0.6554919304326978,1.5218186620410334,1.0607744350418402,0.9593259968374132
0.41006282,1.6978047141903923,1.0865035096194389,1.0818658629844944,1.2909637841831247,0.6554885067033562,1.5218438782033274,1.0608096589937548,0.9593306741306536
0.42005667,1.6978150444715359,1.0864994744819343,1.0818600599164956,1.290996525203414,0.6554757942320149,1.5218868609022396,1.0608379397388117,0.9593318132461561
0.430056,1.6978240194293097,1.0864857946656576,1.0818676953441575,1.291024822794375,0.655466379953484,1.5219341691139752,1.06085613078257,0.9593331588933373
0.440056,1.6978285054371391,1.0864811892057944,1.0818789316302233,1.2910529302948606,0.6554632830842659,1.521974826003796,1.0608692022221073,0.9593477399213028
