elapsed_time_sec,ss1_lp_ma,ss2_lp_ma,ss3_lp_ma,ss4_lp_ma
1.8999999e-06,2.8180341036871677,2.606539155711116,2.499915784729363,2.562794573134984
0.0103911,2.8173955422043737,2.6053184960030564,2.4998972831444215,2.5636422041797293
0.0202019,2.816777647542411,2.6041197951599417,2.4998877108066386,2.564490000359984
0.0306584,2.816129637810461,2.6029240566266543,2.4999169650797395,2.5653391521425375
0.0404537,2.8154520150765587,2.601743216025375,2.4999712623181387,2.566211207018153
0.0504047,2.8147964818899394,2.6005388866222092,2.500009096432242,2.5670823911533325
0.0608184,2.8141191898106257,2.599359172803594,2.500060031275006,2.5679464434466746
0.0703063,2.8134622019454496,2.598177378984081,2.500125844799202,2.568812008878239
0.0806711,2.8127976208914927,2.5970019270359304,2.5002095993600646,2.5696635057994905
0.0907678,2.8121205841190147,2.5958382856648687,2.500322502237301,2.570515597374517
0.1002838,2.811474379621256,2.594688010507668,2.5004415623280143,2.571343304028915
0.1107565,2.810809185638515,2.5935475577913203,2.5005484759374634,2.5721584076139985
0.1207101,2.810123992232595,2.592407869052712,2.500697891824433,2.572983859945335
0.1302689,2.8094664077306963,2.5912774224508266,2.500843122737826,2.573811512212672
0.140638,2.8088060278497373,2.590137903671642,2.501005384175263,2.5746221588326237
0.1505409,2.808120661076071,2.5890042198331154,2.501187337881506,2.575408383068309
0.1605226,2.807435905908773,2.5878801513907845,2.501365987645724,2.576205430858304
0.1703033,2.8067669617987487,2.5867767973891214,2.501578219789309,2.576982869469793
0.1803358,2.806069918090654,2.58569426774152,2.5017546779052022,2.5777739595159335
0.1908258,2.8053788293184407,2.584573054761468,2.5019390657739353,2.578549810051364
0.2007076,2.8046755348397157,2.583461149335618,2.5021382532796683,2.579327685787892
0.2103642,2.8039563581350357,2.5823773465960764,2.502388490423149,2.58010845717215
0.2205444,2.8032409858266365,2.5812923450627343,2.5026499664320063,2.5808565820192304
0.2300999,2.8025219542662616,2.580206120311945,2.502922002505352,2.581601556507199
0.2402355,2.8018208835298224,2.579107058225496,2.503185859915712,2.5823385655333446
0.2503219,2.8011134140457474,2.5780144720983476,2.5034689672133186,2.5830692777693476
0.2603685,2.8004153970421335,2.5769444508965007,2.503753985200378,2.5837772814202364
0.2704865,2.7997134328894018,2.575875920474858,2.504028049654629,2.5844823001426662
0.2801396,2.7990064908809806,2.574827675655861,2.504323625647059,2.5852185358158932
0.2902822,2.7982746959683253,2.573771918701397,2.504650227731603,2.585924162563585
0.3003491,2.797560800599055,2.572702364806515,2.5049860411550675,2.586591783042452
0.3105347,2.7968343549700467,2.571681877650615,2.5053096479311874,2.5872995158154195
0.3201412,2.7961072155518516,2.5706576502697485,2.5056289005833987,2.587987521717462
0.3302629,2.7953874937299306,2.5696235912613363,2.5059905584133375,2.588653096503651
0.3407066,2.794644718784114,2.5685910310028786,2.506334706072011,2.589302481297187
0.3504153,2.793915941031165,2.567575397715838,2.5067137502623673,2.589938070419684
0.3609711,2.793213274685543,2.566579085911783,2.5071098772601013,2.590569526792376
0.3704992,2.79247602904531,2.5655736152704303,2.50749202089879,2.591151582555811
0.3804605,2.791725276562779,2.5645929302445083,2.5079081569334742,2.5917816573232244
0.3904963,2.7909698890037626,2.5636253108763523,2.5083248984706326,2.5924141788675885
0.4002381,2.790200242438423,2.562639988340061,2.508749125248647,2.593016307699061
0.4106064,2.7894247669125924,2.5616470213087306,2.509182515890737,2.5935988272301813
0.4204874,2.788655568425895,2.5606666141757524,2.509601458655462,2.594171178519359
0.4302122,2.7878842633681726,2.5596925374938504,2.5100315640869613,2.5947096090824897
0.4405108,2.7871063885518272,2.5587572207313922,2.51047993791967,2.5952722405385042
0.4503453,2.7863157660444133,2.5577980729663623,2.5109369330649405,2.595804058565791
0.4605025,2.785541086254476,2.5568623198172205,2.5114041177765514,2.596328298427558
0.4706446,2.7847506297041633,2.5559498342676776,2.511886713353056,2.5968234234103775
0.4803543,2.7839518828996357,2.5550305409628975,2.512386837040346,2.59731389004341
0.4906601,2.7831524447071603,2.554117066227527,2.5128856782135536,2.5978133398260868
0.5001204,2.78236768570614,2.5532144323178723,2.5133730554989584,2.5982996905654105
0.5103215,2.7815730977238724,2.552307641002881,2.5138870614903928,2.5987578532361115
0.5200528,2.7807539657135547,2.551377941889905,2.514396462169235,2.5992068244527653
0.5307138,2.77996182662631,2.550481832710017,2.514910408083209,2.599638536185107
0.540104,2.779156883040207,2.549592050311872,2.5154333153435635,2.60004841236468
0.5508793,2.778361012435936,2.54870692186761,2.5159795220195385,2.6004527848402446
0.5605835,2.7775418689893563,2.5478334806935288,2.5165089802045753,2.60083393150038
0.5703154,2.7767335809014253,2.546957317393073,2.5170499095420977,2.60122215403013
0.5807748,2.775925300787986,2.5460958023733724,2.5175922106416797,2.6016021172658825
0.5903874,2.7751359313199524,2.545235524679219,2.5181503065079793,2.6019692223710997
0.6005913,2.7743461163788075,2.544388455178837,2.5186988053479817,2.6023367766068772
0.610471,2.773541708595437,2.5435411011519165,2.519271578055485,2.602690103501039
0.6204684,2.7727374199575205,2.5426788401386746,2.5198698887652142,2.603012559610314
0.630683,2.7719036565083717,2.541847861523359,2.5204796830160463,2.603340007475229
0.6405514,2.771067107512148,2.5410206785515417,2.5210774363021824,2.6036331215493473
0.650416,2.770242465809781,2.540208714826349,2.521665869428808,2.6039160999638606
0.6604523,2.769399287673474,2.5394154200504375,2.522260702230982,2.6042167467796635
0.6701698,2.768571458801137,2.538626815078676,2.522868809667834,2.6044760326999654
