elapsed_time_sec,temperature_c_lp_ma,humidity_pct_lp_ma,pressure_hpa_lp_ma
2.889e-06,25.0921,50.1578,1013.02
0.10008,25.0921,50.1578,1013.02
0.201704,25.0921,50.1578,1013.02
0.300067,25.0921,50.1578,1013.02
0.400077,25.0921,50.1578,1013.02
0.500068,25.0921,50.1578,1013.02
0.600066,25.0921,50.1578,1013.02
0.700065,25.0921,50.1578,1013.02
0.800069,25.0921,50.1578,1013.02
0.900067,25.0921,50.1578,1013.02
1.00004,25.0921,50.1578,1013.02
1.10012,25.0921,50.1578,1013.02
1.20008,25.0921,50.1578,1013.02
1.30007,25.0921,50.1578,1013.02
1.40006,25.0921,50.1578,1013.02
1.50006,25.0921,50.1578,1013.02
1.60006,25.0921,50.1578,1013.02
1.70007,25.0921,50.1578,1013.02
1.80007,25.0921,50.1578,1013.02
1.90035,25.0921,50.1578,1013.02
2.00008,25.0921,50.1578,1013.02
2.10008,25.0921,50.1578,1013.02
2.20008,25.0921,50.1578,1013.02
2.30007,25.0921,50.1578,1013.02
2.40007,25.0921,50.1578,1013.02
2.50007,25.0921,50.1578,1013.02
2.60007,25.0921,50.1578,1013.02
2.70007,25.0921,50.1578,1013.02
2.80007,25.0921,50.1578,1013.02
2.90007,25.0921,50.1578,1013.02
3.00006,25.0921,50.1578,1013.02
3.10008,25.0921,50.1578,1013.02
3.2001,25.0921,50.1578,1013.02
3.30008,25.0921,50.1578,1013.02
3.40011,25.0921,50.1578,1013.02
3.50011,25.0921,50.1578,1013.02
3.60009,25.0921,50.1578,1013.02
3.7001,25.0921,50.1578,1013.02
3.80009,25.0921,50.1578,1013.02
3.90008,25.0921,50.1578,1013.02
4.00009,25.0921,50.1578,1013.02
4.10008,25.0921,50.1578,1013.02
4.20014,25.0921,50.1578,1013.02
4.3001,25.0921,50.1578,1013.02
4.40008,25.0921,50.1578,1013.02
4.50008,25.0921,50.1578,1013.02
4.60009,25.0921,50.1578,1013.02
4.7001,25.0921,50.1578,1013.02
4.80008,25.0921,50.1578,1013.02
4.90008,25.0921,50.1578,1013.02
5.00009,25.0921,50.1578,1013.02
5.10009,25.0921,50.1578,1013.02
5.20013,25.0921,50.1578,1013.02
5.30009,25.0921,50.1578,1013.02
5.40009,25.0921,50.1578,1013.02
5.50008,25.0921,50.1578,1013.02
5.60009,25.0921,50.1578,1013.02
5.70011,25.0921,50.1578,1013.02
5.80009,25.0921,50.1578,1013.02
5.90009,25.0921,50.1578,1013.02
6.00007,25.0921,50.1578,1013.02
6.10007,25.0921,50.1578,1013.02
6.2002,25.0921,50.1578,1013.02
6.30007,25.0921,50.1578,1013.02
6.40006,25.0921,50.1578,1013.02
6.50007,25.0921,50.1578,1013.02
6.60007,25.0921,50.1578,1013.02
6.70008,25.0921,50.1578,1013.02
6.80007,25.0921,50.1578,1013.02
6.90007,25.0921,50.1578,1013.02
7.00007,25.0921,50.1578,1013.02
7.10007,25.0921,50.1578,1013.02
7.20008,25.0921,50.1578,1013.02
7.30008,25.0921,50.1578,1013.02
7.40007,25.0921,50.1578,1013.02
7.50006,25.0921,50.1578,1013.02
7.60006,25.0921,50.1578,1013.02
7.70008,25.0921,50.1578,1013.02
7.80007,25.0921,50.1578,1013.02
7.90006,25.0921,50.1578,1013.02
8.00007,25.0921,50.1578,1013.02
8.10006,25.0921,50.1578,1013.02
8.20008,25.0921,50.1578,1013.02
8.30008,25.0921,50.1578,1013.02
8.40007,25.0921,50.1578,1013.02
8.50006,25.0921,50.1578,1013.02
8.60006,25.0921,50.1578,1013.02
8.70007,25.0921,50.1578,1013.02
8.80008,25.0921,50.1578,1013.02
8.90006,25.0921,50.1578,1013.02
9.00006,25.0921,50.1578,1013.02
9.10006,25.0921,50.1578,1013.02
9.20008,25.0921,50.1578,1013.02
9.30008,25.0921,50.1578,1013.02
9.40006,25.0921,50.1578,1013.02
9.50006,25.0921,50.1578,1013.02
9.60006,25.0921,50.1578,1013.02
9.70008,25.0921,50.1578,1013.02
9.80007,25.0921,50.1578,1013.02
9.90006,25.0921,50.1578,1013.02
10.0001,25.0921,50.1578,1013.02
10.1001,25.0921,50.1578,1013.02
10.2001,25.0921,50.1578,1013.02
10.3001,25.0921,50.1578,1013.02
10.4001,25.0921,50.1578,1013.02
10.5001,25.0921,50.1578,1013.02
10.6001,25.0921,50.1578,1013.02
10.7001,25.0921,50.1578,1013.02
