elapsed_time_sec,ss1_lp_ma,ss2_lp_ma,ss3_lp_ma,ss4_lp_ma
4.3e-06,2.8572,2.81955,2.68281,2.55166
0.0115413,2.8572,2.81955,2.68281,2.55166
0.0203779,2.8572,2.81955,2.68281,2.55166
0.0303073,2.8572,2.81955,2.68281,2.55166
0.0407539,2.8572,2.81955,2.68281,2.55166
0.0505484,2.8572,2.81955,2.68281,2.55166
0.0604828,2.8572,2.81955,2.68281,2.55166
0.0702558,2.8572,2.81955,2.68281,2.55166
0.0804445,2.8572,2.81955,2.68281,2.55166
0.0904853,2.8572,2.81955,2.68281,2.55166
0.100324,2.8572,2.81955,2.68281,2.55166
0.110402,2.8572,2.81955,2.68281,2.55166
0.120263,2.8572,2.81955,2.68281,2.55166
0.130608,2.8572,2.81955,2.68281,2.55166
0.14044,2.8572,2.81955,2.68281,2.55166
0.150394,2.8572,2.81955,2.68281,2.55166
0.160607,2.8572,2.81955,2.68281,2.55166
0.170455,2.8572,2.81955,2.68281,2.55166
0.18061,2.8572,2.81955,2.68281,2.55166
0.190351,2.8572,2.81955,2.68281,2.55166
0.200601,2.8572,2.81955,2.68281,2.55166
0.210214,2.8572,2.81955,2.68281,2.55166
0.22065,2.8572,2.81955,2.68281,2.55166
0.230649,2.8572,2.81955,2.68281,2.55166
0.240138,2.8572,2.81955,2.68281,2.55166
0.250563,2.8572,2.81955,2.68281,2.55166
0.260202,2.8572,2.81955,2.68281,2.55166
0.27077,2.8572,2.81955,2.68281,2.55166
0.280562,2.8572,2.81955,2.68281,2.55166
0.290466,2.8572,2.81955,2.68281,2.55166
0.300362,2.8572,2.81955,2.68281,2.55166
0.311162,2.8572,2.81955,2.68281,2.55166
0.320129,2.8572,2.81955,2.68281,2.55166
0.330373,2.8572,2.81955,2.68281,2.55166
0.340538,2.8572,2.81955,2.68281,2.55166
0.350571,2.8572,2.81955,2.68281,2.55166
0.360809,2.8572,2.81955,2.68281,2.55166
0.370277,2.8572,2.81955,2.68281,2.55166
0.380541,2.8572,2.81955,2.68281,2.55166
0.390241,2.8572,2.81955,2.68281,2.55166
0.400374,2.8572,2.81955,2.68281,2.55166
0.410316,2.8572,2.81955,2.68281,2.55166
0.420428,2.8572,2.81955,2.68281,2.55166
0.430861,2.8572,2.81955,2.68281,2.55166
0.44031,2.8572,2.81955,2.68281,2.55166
0.450463,2.8572,2.81955,2.68281,2.55166
0.460375,2.8572,2.81955,2.68281,2.55166
0.470496,2.8572,2.81955,2.68281,2.55166
0.480322,2.8572,2.81955,2.68281,2.55166
0.49089,2.8572,2.81955,2.68281,2.55166
0.500441,2.8572,2.81955,2.68281,2.55166
0.51021,2.8572,2.81955,2.68281,2.55166
0.520246,2.8572,2.81955,2.68281,2.55166
0.530328,2.8572,2.81955,2.68281,2.55166
0.540254,2.8572,2.81955,2.68281,2.55166
0.550328,2.8572,2.81955,2.68281,2.55166
0.560595,2.8572,2.81955,2.68281,2.55166
0.570513,2.8572,2.81955,2.68281,2.55166
0.58033,2.8572,2.81955,2.68281,2.55166
0.590628,2.8572,2.81955,2.68281,2.55166
0.60026,2.8572,2.81955,2.68281,2.55166
0.611029,2.8572,2.81955,2.68281,2.55166
0.620432,2.8572,2.81955,2.68281,2.55166
0.630282,2.8572,2.81955,2.68281,2.55166
0.640252,2.8572,2.81955,2.68281,2.55166
0.650404,2.8572,2.81955,2.68281,2.55166
0.660245,2.8572,2.81955,2.68281,2.55166
0.670559,2.8572,2.81955,2.68281,2.55166
0.680305,2.8572,2.81955,2.68281,2.55166
0.690301,2.8572,2.81955,2.68281,2.55166
0.700206,2.8572,2.81955,2.68281,2.55166
0.710604,2.8572,2.81955,2.68281,2.55166
0.720704,2.8572,2.81955,2.68281,2.55166
0.7306,2.8572,2.81955,2.68281,2.55166
0.740692,2.8572,2.81955,2.68281,2.55166
0.750378,2.8572,2.81955,2.68281,2.55166
0.760512,2.8572,2.81955,2.68281,2.55166
0.770331,2.8572,2.81955,2.68281,2.55166
0.780436,2.8572,2.81955,2.68281,2.55166
0.790226,2.8572,2.81955,2.68281,2.55166
0.800631,2.8572,2.81955,2.68281,2.55166
0.810233,2.8572,2.81955,2.68281,2.55166
0.820554,2.8572,2.81955,2.68281,2.55166
0.83056,2.8572,2.81955,2.68281,2.55166
0.840183,2.8572,2.81955,2.68281,2.55166
0.850355,2.8572,2.81955,2.68281,2.55166
0.860394,2.8572,2.81955,2.68281,2.55166
0.870466,2.8572,2.81955,2.68281,2.55166
0.880495,2.8572,2.81955,2.68281,2.55166
0.890395,2.8572,2.81955,2.68281,2.55166
0.900588,2.8572,2.81955,2.68281,2.55166
0.910483,2.8572,2.81955,2.68281,2.55166
0.920438,2.8572,2.81955,2.68281,2.55166
0.930327,2.8572,2.81955,2.68281,2.55166
0.940344,2.8572,2.81955,2.68281,2.55166
0.950468,2.8572,2.81955,2.68281,2.55166
0.96058,2.8572,2.81955,2.68281,2.55166
0.970095,2.8572,2.81955,2.68281,2.55166
0.980349,2.8572,2.81955,2.68281,2.55166
0.990534,2.8572,2.81955,2.68281,2.55166
1.00047,2.8572,2.81955,2.68281,2.55166
1.01059,2.8572,2.81955,2.68281,2.55166
1.02046,2.8572,2.81955,2.68281,2.55166
1.03059,2.8572,2.81955,2.68281,2.55166
1.04042,2.8572,2.81955,2.68281,2.55166
1.05044,2.8572,2.81955,2.68281,2.55166
1.06046,2.8572,2.81955,2.68281,2.55166
1.07025,2.8572,2.81955,2.68281,2.55166
1.08025,2.8572,2.81955,2.68281,2.55166
1.09038,2.8572,2.81955,2.68281,2.55166
1.10052,2.8572,2.81955,2.68281,2.55166
1.11006,2.8572,2.81955,2.68281,2.55166
1.12043,2.8572,2.81955,2.68281,2.55166
1.13032,2.8572,2.81955,2.68281,2.55166
1.14032,2.8572,2.81955,2.68281,2.55166
1.1503,2.8572,2.81955,2.68281,2.55166
1.1605,2.8572,2.81955,2.68281,2.55166
1.17026,2.8572,2.81955,2.68281,2.55166
1.1803,2.8572,2.81955,2.68281,2.55166
1.19047,2.8572,2.81955,2.68281,2.55166
1.20055,2.8572,2.81955,2.68281,2.55166
1.2105,2.8572,2.81955,2.68281,2.55166
1.22091,2.8572,2.81955,2.68281,2.55166
1.23053,2.8572,2.81955,2.68281,2.55166
1.24055,2.8572,2.81955,2.68281,2.55166
1.25047,2.8572,2.81955,2.68281,2.55166
1.26041,2.8572,2.81955,2.68281,2.55166
1.27033,2.8572,2.81955,2.68281,2.55166
1.28064,2.8572,2.81955,2.68281,2.55166
