elapsed_time_sec,ss1_lp_ma,ss2_lp_ma,ss3_lp_ma,ss4_lp_ma
2.556e-06,2.81775,2.60621,2.49991,2.56277
0.0118882,2.81712,2.60501,2.4999,2.56362
0.0200897,2.81649,2.60381,2.49992,2.56449
0.0303124,2.81586,2.60262,2.49993,2.56535
0.0400853,2.81523,2.60139,2.49999,2.56623
0.0505881,2.81457,2.6002,2.50004,2.56708
0.0600932,2.81391,2.59902,2.50012,2.56793
0.0700853,2.81325,2.59783,2.50017,2.56878
0.0800756,2.8126,2.59666,2.50028,2.56963
0.0900659,2.81193,2.5955,2.50038,2.57047
0.100064,2.81127,2.59433,2.50048,2.57132
0.110063,2.81061,2.59317,2.50061,2.57214
0.120063,2.80992,2.59203,2.50076,2.57297
0.130062,2.80926,2.59087,2.50091,2.57379
0.140063,2.80862,2.58972,2.50106,2.57459
0.150061,2.80793,2.58857,2.50124,2.57538
0.160061,2.80721,2.58745,2.50145,2.57617
0.170063,2.8065,2.58629,2.50165,2.57696
0.180063,2.80578,2.58512,2.50186,2.57773
0.190061,2.80505,2.58399,2.50209,2.5785
0.200062,2.80433,2.58291,2.50231,2.57928
0.210081,2.80362,2.5818,2.50259,2.58003
0.220083,2.80292,2.58071,2.50284,2.58079
0.230082,2.8022,2.57964,2.50312,2.58152
0.240081,2.80147,2.57856,2.5034,2.58225
0.250065,2.80076,2.57749,2.50368,2.58298
0.260063,2.80001,2.57639,2.50398,2.58369
0.270064,2.79929,2.57534,2.50429,2.5844
0.280061,2.79855,2.57429,2.50461,2.5851
0.290062,2.79783,2.57324,2.50492,2.58578
0.300063,2.7971,2.5722,2.50525,2.58645
0.310062,2.79637,2.57116,2.50557,2.58712
0.320061,2.79565,2.57014,2.50593,2.58776
0.330062,2.79491,2.56911,2.50626,2.5884
0.340061,2.79415,2.56812,2.50663,2.58905
0.350193,2.79339,2.56712,2.507,2.5897
0.360087,2.79265,2.56613,2.5074,2.59034
0.370081,2.79191,2.56517,2.50777,2.59095
0.380068,2.79117,2.56418,2.50817,2.59153
0.39008,2.7904,2.56319,2.50858,2.59213
0.400088,2.78966,2.56219,2.509,2.5927
0.410079,2.78889,2.56118,2.50944,2.59328
0.42007,2.78812,2.56022,2.50988,2.59384
0.430085,2.78736,2.55928,2.51031,2.59439
0.440085,2.78662,2.55833,2.51077,2.59491
0.450075,2.78585,2.5574,2.51123,2.59542
0.460079,2.78509,2.55647,2.51171,2.59593
0.470077,2.7843,2.55554,2.51224,2.59643
0.480089,2.78352,2.55461,2.51275,2.59692
0.490082,2.78273,2.55369,2.51328,2.59741
0.500075,2.78191,2.55278,2.51379,2.59788
0.510081,2.78111,2.55187,2.51432,2.59832
0.520064,2.78032,2.55094,2.51484,2.59876
0.530082,2.77953,2.55002,2.51535,2.59922
0.540084,2.77871,2.54912,2.51588,2.59965
0.550078,2.77788,2.54823,2.51642,2.60006
0.560077,2.77708,2.54739,2.51697,2.60046
0.570065,2.77628,2.54654,2.51753,2.60083
0.580082,2.77547,2.5457,2.5181,2.60122
0.590084,2.77468,2.54486,2.51866,2.60158
0.600077,2.77387,2.54401,2.51923,2.60194
0.610086,2.77305,2.54318,2.51981,2.60227
0.620064,2.77222,2.54238,2.52042,2.6026
0.630077,2.77136,2.54158,2.52102,2.60293
0.640084,2.77055,2.54077,2.52162,2.60323
0.650078,2.76974,2.53998,2.52222,2.60353
0.660078,2.76891,2.53921,2.52282,2.6038
0.670063,2.76807,2.53846,2.52344,2.60406
0.680091,2.76722,2.53769,2.52408,2.6043
0.690084,2.76636,2.5369,2.52473,2.60454
0.700072,2.76551,2.53614,2.52536,2.60477
0.710081,2.76469,2.53539,2.52599,2.60497
0.720064,2.76383,2.53465,2.52663,2.60515
0.730082,2.76299,2.53391,2.52725,2.6053
0.740077,2.76216,2.53318,2.5279,2.60545
0.750076,2.76131,2.53247,2.52855,2.60561
0.760067,2.76044,2.53177,2.52921,2.60574
0.770064,2.75959,2.53109,2.52988,2.60587
0.780063,2.75873,2.5304,2.53056,2.60599
