elapsed_time_sec,ch0_voltage_lp_ma,ch1_voltage_lp_ma,ch2_voltage_lp_ma,ch3_voltage_lp_ma
2.87E-06,0.408273993,0.313805401,0.493962589,0.450945568
0.010105797,0.408258927,0.313789716,0.493808288,0.450821781
0.020120556,0.408245395,0.313773867,0.493654807,0.450697473
0.030088667,0.408230516,0.313758577,0.4935011,0.450573929
0.04009161,0.408215267,0.313743358,0.493347035,0.450450772
0.050075613,0.408200589,0.313727827,0.493194826,0.450327831
0.06008602,0.408186497,0.313712209,0.49304245,0.450206023
0.07005843,0.408171784,0.313696075,0.492889645,0.450084456
0.080082424,0.408156716,0.313679933,0.492736882,0.449962385
0.09009491,0.408142314,0.313666749,0.492584613,0.449839847
0.10007739,0.408127157,0.313651919,0.492431851,0.449717127
0.110084794,0.408113835,0.313635832,0.492280428,0.449597076
0.120091,0.408099843,0.313621107,0.492128905,0.449475344
0.13008153,0.408085,0.313604892,0.491977399,0.449354388
0.14008325,0.408072177,0.313589108,0.491828112,0.449234615
0.15007363,0.408058094,0.313572994,0.491678898,0.449115532
0.16008273,0.408044236,0.31355761,0.491527713,0.4489967
0.17009315,0.408028714,0.31354076,0.491375508,0.448876549
0.18008222,0.40801336,0.313522335,0.491224785,0.448756308
0.19008183,0.407998321,0.313505553,0.491073728,0.448636036
0.20007503,0.407984441,0.313487239,0.490924286,0.448517333
0.21008404,0.407969696,0.313471173,0.4907737,0.448398144
0.22009054,0.407955033,0.313455561,0.490623685,0.448279925
0.23007953,0.407939828,0.313439447,0.490474874,0.448161177
0.24008176,0.407924237,0.313423699,0.490326614,0.448041465
0.25007373,0.407909478,0.313408209,0.490178682,0.447923305
0.26008466,0.407893778,0.313392307,0.490031012,0.44780591
0.27009386,0.407878286,0.313377208,0.48988268,0.447687568
0.28008136,0.407863084,0.313362031,0.489735087,0.447570035
0.29008275,0.407848995,0.313346018,0.489586963,0.447452259
0.30007404,0.407834332,0.313331132,0.489440245,0.447334419
0.31008583,0.407818991,0.313315422,0.489292824,0.447218201
0.32009396,0.407804053,0.313300312,0.489145587,0.44710118
0.3300823,0.407788682,0.313285475,0.488998434,0.446984745
0.340086,0.40777392,0.313270375,0.48885186,0.446867497
0.3501303,0.407758806,0.313254939,0.488705542,0.446751082
0.3600881,0.407743814,0.313239108,0.488559816,0.446634259
0.37009737,0.407728776,0.313224247,0.488413685,0.446517617
0.38008434,0.407714143,0.31320859,0.488268022,0.446401201
0.39009136,0.407697961,0.31319299,0.488122012,0.44628471
0.4000786,0.407683304,0.313177804,0.487977199,0.446169369
0.41008317,0.407668134,0.313162265,0.48783243,0.446053646
0.42009282,0.407651702,0.313146076,0.487688031,0.445938037
0.43008074,0.407634237,0.313129787,0.487543163,0.445820322
0.4400815,0.407617778,0.313111516,0.48739755,0.445704871
0.45007405,0.407601577,0.313095049,0.487252633,0.445590609
0.4600834,0.407585718,0.313078341,0.487107891,0.445475912
0.47009158,0.407570008,0.313060887,0.48696272,0.445361119
0.48008096,0.407554462,0.313045872,0.486819358,0.445246631
0.49008498,0.407538361,0.313029556,0.48667656,0.445132457
0.500076,0.407522819,0.31301336,0.486533891,0.445018601
0.51008487,0.407507609,0.312997718,0.486390617,0.444905366
0.52009666,0.407492378,0.312981156,0.486247302,0.444791045
0.5300834,0.407477067,0.312965456,0.486104409,0.444678122
0.5400849,0.407461281,0.312949378,0.485962901,0.444563962
0.5500787,0.407445339,0.312934206,0.48582103,0.444451169
0.5600849,0.407430175,0.312918498,0.485679387,0.444338605
0.5700983,0.407414842,0.312902544,0.485538287,0.44422591
0.5800852,0.407399307,0.312886107,0.485396902,0.444114403
0.59008604,0.407382996,0.312869719,0.485255392,0.444002318
0.6000773,0.407367965,0.312854176,0.485114536,0.443890441
0.6100862,0.407352572,0.312839284,0.4849733,0.44377874
0.6200914,0.407336846,0.312822636,0.484832111,0.443665722
0.63007975,0.407321119,0.312806747,0.484692403,0.443554258
0.6400806,0.4073043,0.312790652,0.484552663,0.443442332
0.6500755,0.407288085,0.312775636,0.484414538,0.443331298
0.660083,0.407273881,0.312760502,0.484273337,0.443219919
0.6700922,0.407256962,0.312746481,0.484132618,0.443109254
0.68008095,0.40724162,0.312732306,0.483993312,0.442998274
0.6900872,0.407225873,0.312716046,0.483854262,0.442887155
0.7000772,0.407210108,0.312699051,0.483715556,0.442776446
0.71009564,0.407195044,0.312682316,0.48357678,0.442666715
0.7200959,0.407179121,0.31266574,0.483438193,0.442556646
0.7300849,0.40716319,0.312648951,0.48330133,0.442447059
0.74008673,0.407148038,0.312631303,0.483163831,0.442337112
0.75007933,0.407132393,0.312614929,0.483025342,0.442227345
0.7600876,0.407117105,0.312599345,0.482887894,0.442118828
0.7700954,0.407101113,0.312582599,0.48275047,0.442009903
0.7800804,0.407085023,0.312566377,0.482612982,0.441901988
0.7900852,0.40706914,0.312550417,0.482474819,0.441792698
0.8000768,0.407053526,0.312534134,0.482337407,0.441683981
0.8100824,0.407036993,0.312517225,0.482201133,0.441576714
0.8200933,0.407021772,0.312499419,0.482062941,0.441470403
0.8300797,0.407005131,0.312482337,0.481926527,0.441363402
0.8400836,0.406989416,0.312465389,0.481790285,0.441256016
0.85008365,0.406973441,0.31244856,0.481655599,0.441148251
0.86008614,0.406957772,0.312431782,0.481520283,0.441041747
0.87009376,0.40694177,0.312414363,0.481384942,0.440934794
0.880079,0.406925613,0.31239799,0.48125048,0.440827484
0.89008605,0.406910221,0.312381382,0.481115317,0.440721413
0.9000819,0.406894617,0.31236499,0.480980668,0.440614267
0.9101362,0.406880052,0.312349042,0.480846784,0.440508337
0.9200967,0.406866402,0.312331276,0.480710686,0.440400628
0.9300852,0.406852576,0.312314963,0.480575886,0.440295435
0.9400829,0.406835715,0.312297642,0.480440555,0.440189879
0.9500856,0.406818639,0.312280684,0.480306638,0.440085481
0.9600871,0.406801616,0.31226546,0.480173403,0.439980427
0.9700934,0.40678469,0.312248714,0.480039404,0.439875536
0.9800833,0.406768846,0.312231822,0.479906621,0.439770952
0.9901002,0.406752751,0.312214326,0.47977334,0.439665443
1.0001318,0.406736229,0.312197452,0.479641233,0.439560788
1.0101522,0.40671954,0.312181177,0.479508736,0.439455402
1.0200939,0.406704011,0.312164476,0.479376599,0.439350356
1.0300794,0.406687873,0.312147312,0.479244303,0.439244929
1.040081,0.406671887,0.312130226,0.479112646,0.439139857
1.0500922,0.40665504,0.31211327,0.478981207,0.439034998
1.0600837,0.406638274,0.312097094,0.478849175,0.438929799
1.0700951,0.406620957,0.312079489,0.478717651,0.438824782
1.080079,0.406604332,0.312062484,0.478586331,0.438719801
1.0900803,0.406588343,0.312044812,0.47845509,0.438615434
1.1000941,0.406572093,0.312028869,0.478323671,0.438510907
1.110137,0.406555294,0.312011769,0.478192283,0.438407132
1.1200976,0.406538843,0.311994036,0.478061961,0.438302671
1.1300796,0.406522597,0.311976715,0.47793136,0.438199473
1.1400826,0.406505596,0.31195906,0.477801099,0.438095504
1.1500968,0.406489239,0.311942012,0.477670901,0.437992368
1.1600891,0.406473157,0.311924805,0.477541597,0.437888435
1.1700976,0.406457636,0.311907773,0.477412213,0.437784533
1.1800815,0.406440772,0.311891061,0.477282474,0.437681986
1.190082,0.406423547,0.311874062,0.477152783,0.437578617
1.2000953,0.406406729,0.311856486,0.477024336,0.43747587
1.2101516,0.406391146,0.311839473,0.476896024,0.437372698
1.2200967,0.40637743,0.311822365,0.476768379,0.43726881
1.2300808,0.406363038,0.311805374,0.476642257,0.437164283
1.24008,0.406346561,0.311788782,0.476515871,0.43706184
1.2500957,0.406330065,0.311773559,0.476389443,0.436958885
1.2600844,0.406314153,0.311759422,0.476262115,0.436857094
1.2700932,0.406297533,0.311742228,0.476133841,0.43675483
1.2800775,0.406280998,0.311726062,0.476006539,0.436653865
1.29008,0.406264566,0.311708981,0.475878363,0.436551873
1.3000941,0.406248369,0.311692233,0.475751245,0.436450101
1.3100828,0.40623204,0.311675496,0.475623724,0.436348828
1.320092,0.406215877,0.311658098,0.47549659,0.436247697
1.3300817,0.406199213,0.311640575,0.475370079,0.436146204
1.3400817,0.406182219,0.3116229,0.475243325,0.436044273
1.3500984,0.406166178,0.311606756,0.475116428,0.43594344
1.3600855,0.406149214,0.311589483,0.474990389,0.43584138
1.3701004,0.406132022,0.311571908,0.474864614,0.43573985
1.3800824,0.406115593,0.311555023,0.474739008,0.43563905
1.3900843,0.406098978,0.311537612,0.474612931,0.435538499
1.4000925,0.406082302,0.311519812,0.474487683,0.435438131
1.4100866,0.406065398,0.31150297,0.474362673,0.435338083
1.4200954,0.406049028,0.311485608,0.4742373,0.435237258
1.4300792,0.406031437,0.311469262,0.474113204,0.435137354
1.4400802,0.406012713,0.311451251,0.473989352,0.435038212
1.4500796,0.40599541,0.311435379,0.473863642,0.434938177
1.4600842,0.405978549,0.311417253,0.473738792,0.434840392
1.4700898,0.405961604,0.311400721,0.473614866,0.434741161
1.4800781,0.405945008,0.311382123,0.473490866,0.434642608
1.4900947,0.405928179,0.31136393,0.473367481,0.434542643
1.5000944,0.405910754,0.311346713,0.473244142,0.434442942
1.5100917,0.405893965,0.311329137,0.473120041,0.434344049
1.520105,0.405876722,0.311310902,0.472996189,0.434245643
1.530081,0.405859699,0.311292995,0.47287244,0.434147549
1.5400906,0.405843439,0.311274977,0.472748685,0.434048621
1.5500852,0.405826348,0.311257758,0.472625327,0.433950463
1.5600865,0.405809764,0.311239512,0.472502603,0.433852271
1.5700947,0.405792287,0.311221465,0.472379023,0.433754546
1.5800776,0.405775164,0.311204031,0.47225707,0.433657235
1.5900913,0.405757646,0.311186549,0.472134008,0.433560405
1.6000885,0.405739842,0.311169737,0.472011529,0.433463056
1.6100872,0.405722581,0.311152528,0.471889229,0.433365194
1.6200942,0.405705074,0.311134475,0.471766642,0.433267804
1.6300763,0.405687827,0.311116703,0.471644833,0.433170914
1.640085,0.405671847,0.311099554,0.471523284,0.433071803
1.6500862,0.405655008,0.311082448,0.471402778,0.432973714
1.6600838,0.405638113,0.311064091,0.471282372,0.432876234
1.6700923,0.405619987,0.311045813,0.471161378,0.432778849
1.6800764,0.405602554,0.311027828,0.471039709,0.432682355
1.6900845,0.405585617,0.311010001,0.470919384,0.432585336
1.700088,0.405568918,0.310992742,0.470799081,0.432488998
1.7101356,0.40555162,0.31097611,0.470678673,0.432392454
